DATE,Unemployment_Rate
NOV1960,6.1000
DEC1960,6.6000
JAN1961,6.6000
FEB1961,6.9000
MAR1961,6.9000
APR1961,7.0000
MAY1961,7.1000
JUN1961,6.9000
JUL1961,7.0000
AUG1961,6.6000
SEP1961,6.7000
OCT1961,6.5000
NOV1961,6.1000
DEC1961,6.0000
JAN1962,5.8000
FEB1962,5.5000
MAR1962,5.6000
APR1962,5.6000
MAY1962,5.5000
JUN1962,5.5000
JUL1962,5.4000
AUG1962,5.7000
SEP1962,5.6000
OCT1962,5.4000
NOV1962,5.7000
DEC1962,5.5000
JAN1963,5.7000
FEB1963,5.9000
MAR1963,5.7000
APR1963,5.7000
MAY1963,5.9000
JUN1963,5.6000
JUL1963,5.6000
AUG1963,5.4000
SEP1963,5.5000
OCT1963,5.5000
NOV1963,5.7000
DEC1963,5.5000
JAN1964,5.6000
FEB1964,5.4000
MAR1964,5.4000
APR1964,5.3000
MAY1964,5.1000
JUN1964,5.2000
JUL1964,4.9000
AUG1964,5.0000
SEP1964,5.1000
OCT1964,5.1000
NOV1964,4.8000
DEC1964,5.0000
JAN1965,4.9000
FEB1965,5.1000
MAR1965,4.7000
APR1965,4.8000
MAY1965,4.6000
JUN1965,4.6000
JUL1965,4.4000
AUG1965,4.4000
SEP1965,4.3000
OCT1965,4.2000
NOV1965,4.1000
DEC1965,4.0000
JAN1966,4.0000
FEB1966,3.8000
MAR1966,3.8000
APR1966,3.8000
MAY1966,3.9000
JUN1966,3.8000
JUL1966,3.8000
AUG1966,3.8000
SEP1966,3.7000
OCT1966,3.7000
NOV1966,3.6000
DEC1966,3.8000
JAN1967,3.9000
FEB1967,3.8000
MAR1967,3.8000
APR1967,3.8000
MAY1967,3.8000
JUN1967,3.9000
JUL1967,3.8000
AUG1967,3.8000
SEP1967,3.8000
OCT1967,4.0000
NOV1967,3.9000
DEC1967,3.8000
JAN1968,3.7000
FEB1968,3.8000
MAR1968,3.7000
APR1968,3.5000
MAY1968,3.5000
JUN1968,3.7000
JUL1968,3.7000
AUG1968,3.5000
SEP1968,3.4000
OCT1968,3.4000
NOV1968,3.4000
DEC1968,3.4000
JAN1969,3.4000
FEB1969,3.4000
MAR1969,3.4000
APR1969,3.4000
MAY1969,3.4000
JUN1969,3.5000
JUL1969,3.5000
AUG1969,3.5000
SEP1969,3.7000
OCT1969,3.7000
NOV1969,3.5000
DEC1969,3.5000
JAN1970,3.9000
FEB1970,4.2000
MAR1970,4.4000
APR1970,4.6000
MAY1970,4.8000
JUN1970,4.9000
JUL1970,5.0000
AUG1970,5.1000
SEP1970,5.4000
OCT1970,5.5000
NOV1970,5.9000
DEC1970,6.1000
JAN1971,5.9000
FEB1971,5.9000
MAR1971,6.0000
APR1971,5.9000
MAY1971,5.9000
JUN1971,5.9000
JUL1971,6.0000
AUG1971,6.1000
SEP1971,6.0000
OCT1971,5.8000
NOV1971,6.0000
DEC1971,6.0000
JAN1972,5.8000
FEB1972,5.7000
MAR1972,5.8000
APR1972,5.7000
MAY1972,5.7000
JUN1972,5.7000
JUL1972,5.6000
AUG1972,5.6000
SEP1972,5.5000
OCT1972,5.6000
NOV1972,5.3000
DEC1972,5.2000
JAN1973,4.9000
FEB1973,5.0000
MAR1973,4.9000
APR1973,5.0000
MAY1973,4.9000
JUN1973,4.9000
JUL1973,4.8000
AUG1973,4.8000
SEP1973,4.8000
OCT1973,4.6000
NOV1973,4.8000
DEC1973,4.9000
JAN1974,5.1000
FEB1974,5.2000
MAR1974,5.1000
APR1974,5.1000
MAY1974,5.1000
JUN1974,5.4000
JUL1974,5.5000
AUG1974,5.5000
SEP1974,5.9000
OCT1974,6.0000
NOV1974,6.6000
DEC1974,7.2000
JAN1975,8.1000
FEB1975,8.1000
MAR1975,8.6000
APR1975,8.8000
MAY1975,9.0000
JUN1975,8.8000
JUL1975,8.6000
AUG1975,8.4000
SEP1975,8.4000
OCT1975,8.4000
NOV1975,8.3000
DEC1975,8.2000
JAN1976,7.9000
FEB1976,7.7000
MAR1976,7.6000
APR1976,7.7000
MAY1976,7.4000
JUN1976,7.6000
JUL1976,7.8000
AUG1976,7.8000
SEP1976,7.6000
OCT1976,7.7000
NOV1976,7.8000
DEC1976,7.8000
JAN1977,7.5000
FEB1977,7.6000
MAR1977,7.4000
APR1977,7.2000
MAY1977,7.0000
JUN1977,7.2000
JUL1977,6.9000
AUG1977,7.0000
SEP1977,6.8000
OCT1977,6.8000
NOV1977,6.8000
DEC1977,6.4000
JAN1978,6.4000
FEB1978,6.3000
MAR1978,6.3000
APR1978,6.1000
MAY1978,6.0000
JUN1978,5.9000
JUL1978,6.2000
AUG1978,5.9000
SEP1978,6.0000
OCT1978,5.8000
NOV1978,5.9000
DEC1978,6.0000
JAN1979,5.9000
FEB1979,5.9000
MAR1979,5.8000
APR1979,5.8000
MAY1979,5.6000
JUN1979,5.7000
JUL1979,5.7000
AUG1979,6.0000
SEP1979,5.9000
OCT1979,6.0000
NOV1979,5.9000
DEC1979,6.0000
JAN1980,6.3000
FEB1980,6.3000
MAR1980,6.3000
APR1980,6.9000
MAY1980,7.5000
JUN1980,7.6000
JUL1980,7.8000
AUG1980,7.7000
SEP1980,7.5000
OCT1980,7.5000
NOV1980,7.5000
DEC1980,7.2000
JAN1981,7.5000
FEB1981,7.4000
MAR1981,7.4000
APR1981,7.2000
MAY1981,7.5000
JUN1981,7.5000
JUL1981,7.2000
AUG1981,7.4000
SEP1981,7.6000
OCT1981,7.9000
NOV1981,8.3000
DEC1981,8.5000
JAN1982,8.6000
FEB1982,8.9000
MAR1982,9.0000
APR1982,9.3000
MAY1982,9.4000
JUN1982,9.6000
JUL1982,9.8000
AUG1982,9.8000
SEP1982,10.1000
OCT1982,10.4000
NOV1982,10.8000
DEC1982,10.8000
JAN1983,10.4000
FEB1983,10.4000
MAR1983,10.3000
APR1983,10.2000
MAY1983,10.1000
JUN1983,10.1000
JUL1983,9.4000
AUG1983,9.5000
SEP1983,9.2000
OCT1983,8.8000
NOV1983,8.5000
DEC1983,8.3000
JAN1984,8.0000
FEB1984,7.8000
MAR1984,7.8000
APR1984,7.7000
MAY1984,7.4000
JUN1984,7.2000
JUL1984,7.5000
AUG1984,7.5000
SEP1984,7.3000
OCT1984,7.4000
NOV1984,7.2000
DEC1984,7.3000
JAN1985,7.3000
FEB1985,7.2000
MAR1985,7.2000
APR1985,7.3000
MAY1985,7.2000
JUN1985,7.4000
JUL1985,7.4000
AUG1985,7.1000
SEP1985,7.1000
OCT1985,7.1000
NOV1985,7.0000
DEC1985,7.0000
JAN1986,6.7000
FEB1986,7.2000
MAR1986,7.2000
APR1986,7.1000
MAY1986,7.2000
JUN1986,7.2000
JUL1986,7.0000
AUG1986,6.9000
SEP1986,7.0000
OCT1986,7.0000
NOV1986,6.9000
DEC1986,6.6000
JAN1987,6.6000
FEB1987,6.6000
MAR1987,6.6000
APR1987,6.3000
MAY1987,6.3000
JUN1987,6.2000
JUL1987,6.1000
AUG1987,6.0000
SEP1987,5.9000
OCT1987,6.0000
NOV1987,5.8000
DEC1987,5.7000
JAN1988,5.7000
FEB1988,5.7000
MAR1988,5.7000
APR1988,5.4000
MAY1988,5.6000
JUN1988,5.4000
JUL1988,5.4000
AUG1988,5.6000
SEP1988,5.4000
OCT1988,5.4000
NOV1988,5.3000
DEC1988,5.3000
JAN1989,5.4000
FEB1989,5.2000
MAR1989,5.0000
APR1989,5.2000
MAY1989,5.2000
JUN1989,5.3000
JUL1989,5.2000
AUG1989,5.2000
SEP1989,5.3000
OCT1989,5.3000
NOV1989,5.4000
DEC1989,5.4000
JAN1990,5.4000
FEB1990,5.3000
MAR1990,5.2000
APR1990,5.4000
MAY1990,5.4000
JUN1990,5.2000
JUL1990,5.5000
AUG1990,5.7000
SEP1990,5.9000
OCT1990,5.9000
NOV1990,6.2000
DEC1990,6.3000
JAN1991,6.4000
FEB1991,6.6000
MAR1991,6.8000
APR1991,6.7000
MAY1991,6.9000
JUN1991,6.9000
JUL1991,6.8000
AUG1991,6.9000
SEP1991,6.9000
OCT1991,7.0000
NOV1991,7.0000
DEC1991,7.3000
JAN1992,7.3000
FEB1992,7.4000
MAR1992,7.4000
APR1992,7.4000
MAY1992,7.6000
JUN1992,7.8000
JUL1992,7.7000
AUG1992,7.6000
SEP1992,7.6000
OCT1992,7.3000
NOV1992,7.4000
DEC1992,7.4000
JAN1993,7.3000
FEB1993,7.1000
MAR1993,7.0000
APR1993,7.1000
MAY1993,7.1000
JUN1993,7.0000
JUL1993,6.9000
AUG1993,6.8000
SEP1993,6.7000
OCT1993,6.8000
NOV1993,6.6000
DEC1993,6.5000
JAN1994,6.6000
FEB1994,6.6000
MAR1994,6.5000
APR1994,6.4000
MAY1994,6.0000
JUN1994,6.1000
JUL1994,6.1000
AUG1994,6.1000
SEP1994,5.9000
OCT1994,5.8000
NOV1994,5.6000
DEC1994,5.4000
JAN1995,5.6000
FEB1995,5.4000
MAR1995,5.4000
APR1995,5.7000
MAY1995,5.6000
JUN1995,5.6000
JUL1995,5.7000
AUG1995,5.7000
SEP1995,5.7000
OCT1995,5.6000
NOV1995,5.6000
DEC1995,5.6000
JAN1996,5.7000
FEB1996,5.5000
MAR1996,5.5000
APR1996,5.5000
MAY1996,5.5000
JUN1996,5.3000
JUL1996,5.5000
AUG1996,5.2000
SEP1996,5.2000
OCT1996,5.3000
NOV1996,5.4000
DEC1996,5.3000
JAN1997,5.3000
FEB1997,5.3000
MAR1997,5.2000
APR1997,5.0000
MAY1997,4.8000
JUN1997,5.0000
JUL1997,4.9000
AUG1997,4.9000
SEP1997,4.9000
OCT1997,4.8000
NOV1997,4.6000
DEC1997,4.7000
JAN1998,4.7000
FEB1998,4.6000
MAR1998,4.7000
APR1998,4.3000
MAY1998,4.3000
JUN1998,4.5000
JUL1998,4.5000
AUG1998,4.5000
