Specific Risk Factors	Risk Coefficient
Family_History_of_Heart_Diseases_Male__60_0	0.42665
Family_History_of_Heart_Diseases_Male__60_1	2.13325
Family_History_of_Heart_Diseases_Male___60_0	0.90844
Family_History_of_Heart_Diseases_Male___60_1	1.180972
Family_History_of_Cancer_Male_Prostate_0	0.97204
Family_History_of_Cancer_Male_Prostate_1	1.5261028
Family_History_of_Cancer_Female_Breast_0	0.965
Family_History_of_Cancer_Female_Breast_1	1.8335
Family_History_of_Cancer_Female_Breast_0_Ovary	0.97639
Family_History_of_Cancer_Female_Breast_1_Ovary	1.562224
Family_History_of_Cancer_Female_Colorectal_0	0.97824
Family_History_of_Cancer_Female_Colorectal_1	1.565184
Family_History_of_Cancer_Female_Stomach_0	0.97153
Family_History_of_Cancer_Female_Stomach_1	1.845907
Family_History_of_Cancer_Female_Stomach_0_Ovary	0.98398
Family_History_of_Cancer_Female_Stomach_1_Ovary	1.47597
Family_History_of_Cancer_Female_Lung_0	0.98588
Family_History_of_Cancer_Female_Lung_1	1.675996
Family_History_of_Asthma	
Family_History_of_Diabetes_White_0	1
Family_History_of_Diabetes_White_1	1.8
Family_History_of_Diabetes_White___2	3.6
Family_History_of_Diabetes_Non_White_0	1
Family_History_of_Diabetes_Non_White_1	1.4
Family_History_of_Diabetes_Non_White___2	2.8
Family_History_of_Stroke_Female_0	0.74057
Family_History_of_Stroke_Female_1	1.48114
Geography_Homicide_1	1.493421053
Geography_Homicide_2	1.131578947
Geography_Homicide_3	1.223684211
Geography_Homicide_4	1.342105263
Geography_Homicide_5	1.098684211
Geography_Homicide_6	0.835526316
Geography_Homicide_7	0.572368421
Geography_Homicide_8	0.513157895
Geography_Homicide_9	3.782894737
Geography_Homicide_10	1.151315789
Geography_Homicide_11	1.368421053
Geography_Homicide_12	0.328947368
Geography_Homicide_13	0.921052632
Geography_Homicide_14	0.894736842
Geography_Homicide_15	0.848684211
Geography_Homicide_16	0.565789474
Geography_Homicide_17	0.907894737
Geography_Homicide_18	1.072368421
Geography_Homicide_19	1.703947368
Geography_Homicide_20	0.657894737
Geography_Homicide_21	0.960526316
Geography_Homicide_22	0.335526316
Geography_Homicide_23	1.052631579
Geography_Homicide_24	0.519736842
Geography_Homicide_25	1.559210526
Geography_Homicide_26	1.203947368
Geography_Homicide_27	1.171052632
Geography_Homicide_28	0.697368421
Geography_Homicide_29	1.703947368
Geography_Homicide_30	0.493421053
Geography_Homicide_31	0.361842105
Geography_Homicide_32	1.223684211
Geography_Homicide_33	0.914473684
Geography_Homicide_34	1.236842105
Geography_Homicide_35	0.467105263
Geography_Homicide_36	0.769736842
Geography_Homicide_37	1.039473684
Geography_Homicide_38	0.828947368
Geography_Homicide_39	0.717105263
Geography_Homicide_40	0.361842105
Geography_Homicide_41	1.144736842
Geography_Homicide_42	0.703947368
Geography_Homicide_43	1.335526316
Geography_Homicide_44	1.414473684
Geography_Homicide_45	0.796052632
Geography_Homicide_46	0.953947368
Geography_Homicide_47	1.032894737
Geography_Homicide_48	0.723684211
Geography_Homicide_49	1.065789474
Geography_Homicide_50	0.651315789
Geography_Homicide_51	1.217105263
AIDS_0	1
AIDS_1	0.431111111
AIDS_White_suicide_0	0.9984
AIDS_White_suicide_1	8.9856
AIDS_Black_suicide_0	0.99631
AIDS_Black_suicide_1	4.682657
AIDS_Treatment_AZT_0	1.071097
AIDS_Treatment_AZT_1	0.867589
AIDS_Treatment_PCP_Prophylaxis_0	1.201877
AIDS_Treatment_PCP_Prophylaxis_1	0.721126
Cancer	1
Asthma_COPD_0	0.87751
Asthma_COPD_1	6.14257
Asthma_Heart_Diseases_0	0.99537
Asthma_Heart_Diseases_1	1.194444
Asthma_Lung_Cancer_0	0.99307
Asthma_Lung_Cancer_1	1.290991
Diabetes_Male_0	0.70683
Diabetes_Male_1	6.33702
Diabetes_Female_0	0.65644
Diabetes_Female_1	7.4149
Diabetes_Male_Colorectal_Cancer_0	0.98462
Diabetes_Male_Colorectal_Cancer_1	1.280006
Diabetes_Female_Colorectal_Cancer_0	0.99193
Diabetes_Female_Colorectal_Cancer_1	1.150639
Diabetes_Male_Pancreas_Cancer_0	0.973293
Diabetes_Male_Pancreas_Cancer_1	1.450266
Diabetes_Female_Pancreas_Cancer_0	0.978053
Diabetes_Female_Pancreas_Cancer_1	1.47686
Diabetes_Male_Heart_Diseases_0	0.923095
Diabetes_Male_Heart_Diseases_1	2.400047
Diabetes_Female_Heart_Diseases_0	0.907713
Diabetes_Female_Heart_Diseases_1	2.723139
Diabetes_Male_Stroke_0	0.950507
Diabetes_Male_Stroke_1	1.901014
Diabetes_Female_Stroke_0	0.911921
Diabetes_Female_Stroke_1	2.644571
Diabetes_Male_Influenza_0	0.932055
Diabetes_Male_Influenza_1	2.236932
Diabetes_Female_Influenza_0	0.960922
Diabetes_Female_Influenza_1	1.72966
Heart Diseases	
Blood_Pressure_Heart_Diseases__80	0.39754
Blood_Pressure_Heart_Diseases_80_89	0.8189324
Blood_Pressure_Heart_Diseases_90_94	1.2681526
Blood_Pressure_Heart_Diseases_95_104	1.4271686
Blood_Pressure_Heart_Diseases___105	1.8445856
Blood_Pressure_Male_Stroke__80	0.479114
Blood_Pressure_Male_Stroke_80_84	0.7090887
Blood_Pressure_Male_Stroke_85_89	0.8671963
Blood_Pressure_Male_Stroke_90_94	1.0636331
Blood_Pressure_Male_Stroke_95_99	1.3031901
Blood_Pressure_Male_Stroke_100_104	1.5954496
Blood_Pressure_Male_Stroke_105_109	1.9547851
Blood_Pressure_Male_Stroke___110	2.3811966
Blood_Pressure_Female_Stroke__80	0.468354
Blood_Pressure_Female_Stroke_80_84	0.702531
Blood_Pressure_Female_Stroke_85_89	0.8617714
Blood_Pressure_Female_Stroke_90_94	1.0631636
Blood_Pressure_Female_Stroke_95_99	1.3113912
Blood_Pressure_Female_Stroke_100_104	1.6111378
Blood_Pressure_Female_Stroke_105_109	1.9811374
Blood_Pressure_Female_Stroke___110	2.463542
