SampleSize,XbarMinusMu
29672337,-0.000104
31155954,-6.8959e-5
32713752,-3.2271e-5
34349440,-1.5938e-5
36066912,1.65844e-5
37870258,0.0000287
39763771,3.2783e-5
41751960,5.62083e-5
43839558,0.00006794
46031536,7.95115e-5
48333113,8.53681e-5
50749769,8.99671e-5
53287258,0.00010678
55951621,9.09854e-5
58749203,8.53052e-5
61686664,0.0001152
64770998,0.00010157
68009548,0.00008328
71410026,0.00010153
74980528,0.00011105
78729555,0.00010561
82666033,9.08272e-5
86799335,0.00007147
91139302,6.79629e-5
95696268,6.28885e-5
100481082,6.1359e-5
105505137,6.0718e-5
110780394,0.00007897
116319414,7.45185e-5
122135385,9.17718e-5
128242155,7.64238e-5
134654263,7.41082e-5
141386977,7.34176e-5
148456326,7.46343e-5
155879143,0.00007999
163673101,0.00008004
171856757,6.70228e-5
180449595,5.73176e-5
189472075,4.74353e-5
198945679,4.16915e-5
208892963,4.56972e-5
219337612,4.11011e-5
230304493,4.26758e-5
241819718,4.36416e-5
253910704,0.00004836
266606240,2.71932e-5
279936552,0.00003719
293933380,0.00003018
308630049,2.37284e-5
324061552,2.31479e-5
340264630,2.75371e-5
357277862,1.90534e-5
375141756,1.83719e-5
393898844,1.07289e-5
413593787,7.11306e-6
434273477,7.38731e-6
455987151,1.20839e-5
478786509,1.31183e-5
502725835,1.18928e-5
527862127,8.81812e-6
554255234,1.12245e-5
581967996,-1.1721e-7
611066396,-5.481e-6
641619716,-6.5508e-6
673700702,-1.3266e-5
707385738,-1.993e-5
742755025,-0.0000204
779892777,-2.0024e-5
818887416,-2.456e-5
859831787,-2.1935e-5
902823377,-2.1931e-5
947964546,-2.416e-5
995362774,-2.2545e-5
1045130913,-2.5036e-5
1097387459,-2.3159e-5
1152256832,-1.8566e-5
1209869674,-1.8588e-5
1270363158,-1.2289e-5
1333881316,-9.9864e-6
1400575382,-1.4467e-5
1470604152,-1.1118e-5
1544134360,-0.0000156
1621341078,-0.0000171
1702408132,-2.0864e-5
1787528539,-1.797e-5
1876904966,-2.1428e-5
1970750215,-0.0000174
2069287726,-1.8672e-5
2172752113,-0.0000138
2281389719,-0.0000136
2395459205,-1.3085e-5
2515232166,-1.3133e-5
2640993775,-1.1347e-5
2773043464,-9.7645e-6
2911695638,-1.0648e-5
3057280420,-8.088e-6
3210144441,-9.1458e-6
3370651664,-7.1172e-6
3539184248,-6.6975e-6
3716143461,-6.3774e-6
3901950635,-7.9488e-6
4097048167,-5.2644e-6
4301900576,-4.6412e-6
4516995605,-4.3577e-6
4742845386,-4.65e-6
4979987656,-3.3373e-6
5228987039,-4.0056e-6
5490436391,-3.4689e-6
5764958211,-3.688e-6
6053206122,-2.9477e-6
6355866429,-3.1843e-6
6673659751,-4.8085e-6
7007342739,-7.4813e-6
7357709876,-6.6565e-6
7725595370,-6.453e-6
8111875139,-7.5359e-6
8517468896,-6.6297e-6
8943342341,-5.1421e-6
9390509459,-4.9966e-6
9860034932,-5.9882e-6
1.0353e+10,-4.6048e-6
1.0871e+10,-5.8088e-6
1.1414e+10,-0.0000055
1.1985e+10,-5.3375e-6
1.2584e+10,-6.5134e-6
1.3213e+10,-8.2974e-6
1.3874e+10,-7.7055e-6
1.4568e+10,-7.7198e-6
1.5296e+10,-5.8676e-6
1.6061e+10,-5.4792e-6
1.6864e+10,-4.1889e-6
1.7707e+10,-3.2884e-6
1.8593e+10,-2.5781e-6
1.9522e+10,-3.4336e-6
2.0498e+10,-2.7975e-6
2.1523e+10,-3.1775e-6
2.2599e+10,-2.6152e-6
2.3729e+10,-2.578e-6
2.4916e+10,-2.9805e-6
2.6162e+10,-3.5021e-6
2.747e+10,-5.1372e-6
2.8843e+10,-5.924e-6
3.0285e+10,-5.3187e-6
3.18e+10,-4.1812e-6
3.339e+10,-4.2082e-6
3.5059e+10,-5.1161e-6
3.6812e+10,-4.9492e-6
3.8653e+10,-4.7329e-6
4.0585e+10,-4.2359e-6
4.2615e+10,-4.9415e-6
4.4745e+10,-4.8598e-6
4.6982e+10,-4.8211e-6
4.9332e+10,-5.1359e-6
5.1798e+10,-4.8477e-6
5.4388e+10,-3.8127e-6
5.7108e+10,-3.8263e-6
5.9963e+10,-3.2272e-6
6.2961e+10,-3.3062e-6
6.6109e+10,-2.9609e-6
6.9415e+10,-2.4666e-6
7.2885e+10,-2.5202e-6
7.653e+10,-2.576e-6
8.0356e+10,-2.2382e-6
8.4374e+10,-1.6821e-6
8.8592e+10,-1.9064e-6
9.3022e+10,-1.6161e-6
9.7673e+10,-1.8238e-6
1.0256e+11,-1.619e-6
1.0768e+11,-1.5627e-6
1.1307e+11,-1.6305e-6
1.1872e+11,-1.5755e-6
1.2466e+11,-1.6403e-6
1.3089e+11,-1.5188e-6
1.3744e+11,-1.9409e-6
1.4431e+11,-2.3826e-6
1.5152e+11,-1.7381e-6
1.591e+11,-1.3388e-6
1.6705e+11,-1.411e-6
1.7541e+11,-1.3377e-6
1.8418e+11,-1.0244e-6
1.9339e+11,-1.0181e-6
2.0306e+11,-7.0081e-7
2.1321e+11,-4.8204e-7
2.2387e+11,-6.448e-7
2.3506e+11,-5.3508e-7
2.4682e+11,-7.4257e-7
2.5916e+11,-8.1817e-7
2.7211e+11,-5.5756e-7
2.8572e+11,-6.2198e-7
3.0001e+11,-7.6388e-7
3.1501e+11,-6.3074e-7
3.3076e+11,-6.267e-7
3.4729e+11,-7.2094e-7
3.6466e+11,-5.9096e-7
3.8289e+11,-4.8871e-7
4.0204e+11,-6.4554e-7
4.2214e+11,-8.1696e-7
4.4324e+11,-5.6578e-7
4.6541e+11,-4.8827e-7
4.8868e+11,-3.2154e-7
5.1311e+11,-3.2143e-7
5.3877e+11,-3.2527e-7
5.6571e+11,-2.4755e-7
5.9399e+11,-1.3249e-7
6.2369e+11,-5.1586e-7
6.5487e+11,-3.9648e-7
6.8762e+11,-1.3052e-7
7.22e+11,-1.0707e-7
7.581e+11,-2.1309e-7
7.96e+11,-3.4181e-7
8.358e+11,-3.2251e-7
8.7759e+11,-1.8907e-7
9.2147e+11,-9.2408e-8
9.6755e+11,1.89924e-8
1.0159e+12,7.28418e-9
1.0667e+12,-1.1203e-7
1.1201e+12,-1.7529e-7
1.1761e+12,-4.3132e-7
1.2349e+12,-5.879e-7
1.2966e+12,-4.7342e-7
1.3614e+12,-3.1341e-7
1.4295e+12,-2.279e-7
1.501e+12,-2.3708e-7
1.576e+12,-3.1057e-7
1.6548e+12,-2.2131e-7
1.7376e+12,-7.2153e-8
1.8245e+12,8.2902e-8
1.9157e+12,8.59691e-8
2.0115e+12,1.01373e-7
2.112e+12,2.98886e-8
2.2176e+12,1.43158e-8
2.3285e+12,7.88423e-8
2.4449e+12,4.13677e-8
2.5672e+12,-1.3615e-8
2.6956e+12,1.63648e-8
2.8303e+12,-1.6453e-8
2.9718e+12,-5.2644e-8
3.1204e+12,-1.1566e-7
3.2765e+12,-1.8048e-7
3.4403e+12,-1.1123e-7
3.6123e+12,-9.1066e-8
3.7929e+12,-3.7751e-8
3.9826e+12,1.91298e-8
4.1817e+12,5.85023e-9
4.3908e+12,-1.1786e-7
4.6103e+12,-2.5681e-7
4.8408e+12,-1.9134e-7
5.0829e+12,-1.8731e-7
5.337e+12,-1.8523e-7
5.6039e+12,-2.0165e-7
5.8841e+12,-1.556e-7
6.1783e+12,-1.5522e-7
6.4872e+12,-1.49e-7
6.8115e+12,-1.2038e-7
7.1521e+12,-1.1762e-7
7.5097e+12,-2.2241e-7
7.8852e+12,-2.4174e-7
8.2795e+12,-2.0577e-7
8.6934e+12,-1.5933e-7
9.1281e+12,-1.7274e-7
9.5845e+12,-2.1149e-7
1.0064e+13,-1.9103e-7
1.0567e+13,-1.9429e-7
1.1095e+13,-1.5017e-7
1.165e+13,-1.4032e-7
1.2233e+13,-1.214e-7
1.2844e+13,-8.4524e-8
1.3486e+13,-8.7037e-8
1.4161e+13,-4.4052e-8
1.4869e+13,-5.7409e-8
1.5612e+13,-3.3679e-8
1.6393e+13,-8.3107e-8
1.7212e+13,-6.6386e-8
1.8073e+13,-5.4553e-8
1.8977e+13,8.86339e-9
1.9925e+13,1.70713e-8
2.0922e+13,3.93007e-8
2.1968e+13,4.25489e-8
2.3066e+13,3.84032e-8
2.422e+13,1.51724e-8
2.5431e+13,9.43994e-9
2.6702e+13,4.1385e-8
2.8037e+13,1.72764e-8
2.9439e+13,2.22231e-8
3.0911e+13,4.56427e-9
3.2457e+13,1.70075e-8
3.4079e+13,-2.1256e-8
3.5783e+13,-5.5519e-9
3.7572e+13,-3.0048e-8
3.9451e+13,-1.3698e-8
4.1424e+13,-2.8437e-8
4.3495e+13,-2.6555e-8
4.567e+13,1.76509e-9
4.7953e+13,1.79748e-8
5.0351e+13,3.71068e-8
5.2868e+13,5.01109e-8
5.5512e+13,7.32344e-8
5.8287e+13,5.94316e-8
6.1202e+13,6.03269e-8
6.4262e+13,8.62241e-8
6.7475e+13,1.06566e-7
7.0849e+13,1.10049e-7
7.4391e+13,1.01572e-7
7.8111e+13,1.38635e-7
8.2016e+13,1.22153e-7
8.6117e+13,1.22135e-7
9.0423e+13,1.16234e-7
9.4944e+13,1.08006e-7
9.9691e+13,1.01968e-7
1.0468e+14,9.0192e-8
1.0991e+14,7.56327e-8
1.154e+14,7.28857e-8
1.2118e+14,6.24973e-8
1.2723e+14,5.44485e-8
1.336e+14,3.42334e-8
1.4028e+14,3.6492e-8
1.4729e+14,4.40853e-8
1.5465e+14,4.55577e-8
1.6239e+14,3.2922e-8
1.7051e+14,2.97271e-8
1.7903e+14,2.93924e-8
1.8798e+14,2.72556e-8
1.9738e+14,9.92171e-9
2.0725e+14,-2.7787e-9
2.1761e+14,6.85745e-9
2.2849e+14,5.6415e-9
2.3992e+14,1.1252e-8
2.5191e+14,1.05261e-8
2.6451e+14,1.35816e-8
2.7774e+14,8.34597e-9
2.9162e+14,-3.0116e-9
3.062e+14,-1.0283e-8
3.2151e+14,-8.2141e-9
3.3759e+14,2.13389e-9
3.5447e+14,1.16777e-9
3.7219e+14,-4.6164e-9
3.908e+14,-6.1168e-9
4.1034e+14,-7.3952e-9
4.3086e+14,-2.1227e-9
4.524e+14,-7.4808e-9
4.7502e+14,-7.7756e-9
4.9877e+14,-7.679e-9
5.2371e+14,-6.0649e-9
5.499e+14,-6.1444e-9
5.7739e+14,8.02579e-9
6.0626e+14,3.37651e-9
6.3657e+14,3.72912e-9
6.684e+14,2.66377e-9
7.0182e+14,-3.6484e-9
7.3691e+14,-5.0459e-9
7.7376e+14,-1.6149e-9
8.1245e+14,-4.4526e-9
8.5307e+14,-1.0254e-8
8.9572e+14,-1.387e-8
9.4051e+14,-1.7192e-8
9.8754e+14,-2.012e-8
1.0369e+15,-1.3025e-8
1.0888e+15,-1.1453e-8
1.1432e+15,-8.7988e-9
1.2004e+15,-7.0068e-9
1.2604e+15,-5.1944e-9
1.3234e+15,-2.915e-9
1.3896e+15,-5.6201e-9
1.459e+15,-2.4134e-9
1.532e+15,-3.0168e-9
1.6086e+15,-9.636e-10
1.689e+15,-8.6487e-9
1.7735e+15,-1.0883e-8
1.8621e+15,-1.3417e-8
1.9553e+15,-1.1394e-8
2.053e+15,-8.6552e-9
2.1557e+15,-9.3742e-9
2.2635e+15,-7.1242e-9
2.3766e+15,-6.5555e-9
2.4955e+15,-7.6012e-9
2.6202e+15,-6.5586e-9
2.7512e+15,-8.2264e-9
2.8888e+15,-9.013e-9
3.0332e+15,-8.4101e-9
3.1849e+15,-8.1464e-9
3.3441e+15,-9.3938e-9
3.5114e+15,-8.1455e-9
3.6869e+15,-7.8305e-9
3.8713e+15,-1.1205e-8
4.0648e+15,-1.2352e-8
4.2681e+15,-1.1503e-8
4.4815e+15,-1.096e-8
4.7056e+15,-8.9369e-9
4.9408e+15,-8.7053e-9
5.1879e+15,-6.8941e-9
5.4473e+15,-8.0217e-9
5.7196e+15,-6.7335e-9
6.0056e+15,-8.0308e-9
6.3059e+15,-7.9673e-9
6.6212e+15,-6.7179e-9
6.9522e+15,-5e-9
7.2999e+15,-4.8717e-9
7.6648e+15,-5.1883e-9
8.0481e+15,-5.1878e-9
8.4505e+15,-5.1072e-9
8.873e+15,-6.6506e-9
9.3167e+15,-7.7209e-9
9.7825e+15,-6.2958e-9
1.0272e+16,-7.2813e-9
1.0785e+16,-4.536e-9
1.1324e+16,-5.8759e-9
1.1891e+16,-6.6758e-9
1.2485e+16,-7.0206e-9
1.3109e+16,-6.0919e-9
1.3765e+16,-6.2225e-9
1.4453e+16,-6.3823e-9
1.5176e+16,-6.1021e-9
1.5935e+16,-5.8697e-9
1.6731e+16,-5.4429e-9
1.7568e+16,-5.4254e-9
1.8446e+16,-5.5645e-9
1.9369e+16,-5.2842e-9
2.0337e+16,-3.8157e-9
2.1354e+16,-3.4266e-9
2.2422e+16,-3.4213e-9
2.3543e+16,-3.1916e-9
2.472e+16,-2.4495e-9
2.5956e+16,-1.9444e-9
2.7254e+16,-2.107e-9
2.8616e+16,-1.634e-9
3.0047e+16,-1.9733e-9
3.155e+16,-1.3826e-9
3.3127e+16,-9.08e-10
3.4783e+16,-3.487e-10
3.6523e+16,-5.438e-10
3.8349e+16,6.9929e-10
4.0266e+16,7.0161e-10
4.2279e+16,1.02809e-9
4.4393e+16,1.30093e-9
4.6613e+16,1.4564e-9
4.8944e+16,1.22887e-9
5.1391e+16,6.8213e-10
5.396e+16,7.8652e-10
5.6658e+16,6.3658e-10
5.9491e+16,1.07286e-9
6.2466e+16,1.60642e-9
6.5589e+16,2.12214e-9
6.8869e+16,2.28649e-9
7.2312e+16,1.76266e-9
7.5928e+16,1.84462e-9
7.9724e+16,1.11685e-9
8.371e+16,4.5543e-10
8.7896e+16,7.6827e-10
9.2291e+16,5.23e-10
9.6905e+16,8.889e-10
1.0175e+17,4.204e-10
1.0684e+17,8.352e-10
1.1218e+17,6.5597e-10
1.1779e+17,8.4189e-10
1.2368e+17,8.4292e-10
1.2986e+17,3.5055e-10
1.3636e+17,1.9195e-10
1.4317e+17,5.5506e-11
1.5033e+17,-1.304e-10
1.5785e+17,-7.77e-10
1.6574e+17,-8.422e-10
1.7403e+17,-8.331e-10
1.8273e+17,-6.709e-10
1.9187e+17,-8.448e-10
2.0146e+17,-6.72e-10
2.1153e+17,-5.791e-10
2.2211e+17,-7.995e-10
2.3321e+17,-7.158e-10
2.4487e+17,-4.156e-10
2.5712e+17,-8.758e-10
2.6997e+17,-9.096e-10
2.8347e+17,-1.2036e-9
2.9765e+17,-1.1413e-9
3.1253e+17,-9.98e-10
3.2816e+17,-8.783e-10
3.4456e+17,-7.422e-10
3.6179e+17,-1.0404e-9
3.7988e+17,-8.979e-10
3.9888e+17,-1.0069e-9
4.1882e+17,-1.1828e-9
4.3976e+17,-1.0797e-9
4.6175e+17,-1.0003e-9
4.8484e+17,-1.0961e-9
5.0908e+17,-1.0812e-9
5.3453e+17,-9.398e-10
5.6126e+17,-1.2719e-9
5.8932e+17,-1.2002e-9
6.1879e+17,-1.1511e-9
6.4973e+17,-1.0464e-9
6.8221e+17,-9.136e-10
7.1632e+17,-8.378e-10
7.5214e+17,-9.796e-10
7.8975e+17,-9.996e-10
8.2923e+17,-1.0395e-9
8.7069e+17,-1.0217e-9
9.1423e+17,-1.1012e-9
9.5994e+17,-1.0484e-9
1.0079e+18,-1.1049e-9
1.0583e+18,-1.2746e-9
1.1113e+18,-1.0552e-9
1.1668e+18,-8.115e-10
1.2252e+18,-8.515e-10
1.2864e+18,-9.223e-10
1.3507e+18,-9.248e-10
1.4183e+18,-9.475e-10
1.4892e+18,-9.113e-10
1.5636e+18,-8.323e-10
1.6418e+18,-6.611e-10
1.7239e+18,-6.009e-10
1.8101e+18,-5.857e-10
1.9006e+18,-5.877e-10
1.9956e+18,-4.934e-10
2.0954e+18,-4.665e-10
2.2002e+18,-3.767e-10
2.3102e+18,-2.971e-10
2.4257e+18,-2.527e-10
2.547e+18,-2.797e-10
2.6744e+18,-2.719e-10
2.8081e+18,-2.787e-10
2.9485e+18,-2.494e-10
3.0959e+18,-2.826e-10
3.2507e+18,-2.266e-10
3.4132e+18,-3.2e-10
3.5839e+18,-3.005e-10
3.7631e+18,-2.803e-10
3.9512e+18,-3.128e-10
4.1488e+18,-3.359e-10
4.3562e+18,-2.858e-10
4.5741e+18,-2.66e-10
4.8028e+18,-2.566e-10
5.0429e+18,-2.802e-10
5.295e+18,-2.816e-10
5.5598e+18,-3.527e-10
5.8378e+18,-3.442e-10
6.1297e+18,-3.438e-10
6.4362e+18,-3.289e-10
6.758e+18,-2.661e-10
7.0959e+18,-2.311e-10
7.4507e+18,-1.613e-10
7.8232e+18,-1.994e-10
8.2144e+18,-1.944e-10
8.6251e+18,-1.8e-10
9.0563e+18,-1.242e-10
9.5091e+18,-9.037e-11
9.9846e+18,-1.1e-10
1.0484e+19,-1.337e-10
1.1008e+19,-1.323e-10
1.1558e+19,-9.791e-11
1.2136e+19,-8.47e-11
1.2743e+19,-8.519e-11
1.338e+19,-5.07e-11
1.4049e+19,-9.079e-11
1.4752e+19,-9.4e-11
1.5489e+19,-5.759e-11
1.6264e+19,-5.306e-11
1.7077e+19,-4.457e-11
1.7931e+19,-3.07e-11
1.8827e+19,-6.01e-11
1.9769e+19,-7.138e-11
2.0757e+19,-5.128e-11
2.1795e+19,-8.079e-11
2.2885e+19,-9.675e-11
2.4029e+19,-1.038e-10
2.5231e+19,-7.919e-11
2.6492e+19,-9.565e-11
2.7817e+19,-6.843e-11
2.9208e+19,-5.579e-11
3.0668e+19,-3.563e-11
3.2201e+19,-3.727e-11
3.3811e+19,-3.288e-11
3.5502e+19,-5.471e-11
3.7277e+19,-3.273e-11
3.9141e+19,-5.64e-11
4.1098e+19,-6.658e-11
4.3153e+19,-9.897e-11
4.531e+19,-7.601e-11
4.7576e+19,-8.324e-11
4.9955e+19,-6.958e-11
5.2453e+19,-8.821e-11
5.5075e+19,-9.694e-11
5.7829e+19,-7.24e-11
6.072e+19,-6.325e-11
6.3756e+19,-3.761e-11
6.6944e+19,-3.106e-11
7.0291e+19,-4.795e-12
7.3806e+19,8.8699e-12
7.7496e+19,2.5804e-11
8.1371e+19,2.2162e-11
8.544e+19,2.2721e-11
8.9712e+19,1.0968e-11
9.4197e+19,1.4746e-12
9.8907e+19,5.5545e-12
1.0385e+20,-1.099e-11
1.0905e+20,1.0685e-11
1.145e+20,8.7761e-12
1.2022e+20,1.0162e-12
1.2623e+20,-1.009e-11
1.3255e+20,-1.952e-11
1.3917e+20,-1.113e-11
1.4613e+20,-1.793e-11
1.5344e+20,-1.739e-11
1.6111e+20,-2.881e-11
1.6916e+20,-3.02e-11
1.7762e+20,-3.728e-11
1.865e+20,-3.355e-11
1.9583e+20,-4.091e-11
2.0562e+20,-3.234e-11
2.159e+20,-2.967e-11
2.267e+20,-2.842e-11
2.3803e+20,-3.423e-11
2.4993e+20,-3.805e-11
2.6243e+20,-4.509e-11
2.7555e+20,-5.294e-11
2.8933e+20,-5.339e-11
3.038e+20,-4.063e-11
3.1899e+20,-3.867e-11
3.3493e+20,-4.289e-11
3.5168e+20,-3.805e-11
3.6927e+20,-3.547e-11
3.8773e+20,-3.623e-11
4.0712e+20,-3.513e-11
4.2747e+20,-3.291e-11
4.4884e+20,-3.948e-11
4.7129e+20,-3.289e-11
4.9485e+20,-3.068e-11
5.1959e+20,-3.081e-11
5.4557e+20,-2.596e-11
5.7285e+20,-2.352e-11
6.0149e+20,-2.679e-11
6.3157e+20,-2.652e-11
6.6315e+20,-2.423e-11
6.9631e+20,-3.152e-11
7.3112e+20,-2.631e-11
7.6768e+20,-1.168e-11
8.0606e+20,-1.692e-11
8.4636e+20,-1.262e-11
8.8868e+20,-1.157e-11
9.3312e+20,-1.012e-11
9.7977e+20,-2.21e-12
1.0288e+21,-3.767e-12
1.0802e+21,-9.142e-12
1.1342e+21,-4.934e-12
1.1909e+21,-6.013e-12
1.2505e+21,-9.215e-12
1.313e+21,-1.122e-11
1.3786e+21,-1.396e-11
1.4476e+21,-1.049e-11
1.5199e+21,-9.904e-12
1.5959e+21,-1.103e-11
1.6757e+21,-1.294e-11
1.7595e+21,-9.397e-12
1.8475e+21,-1.339e-11
1.9399e+21,-1.02e-11
2.0369e+21,-9.026e-12
2.1387e+21,-9.589e-12
2.2457e+21,-1.539e-11
2.3579e+21,-1.549e-11
2.4758e+21,-1.258e-11
2.5996e+21,-1.119e-11
2.7296e+21,-1.163e-11
2.8661e+21,-9.642e-12
3.0094e+21,-9.011e-12
3.1599e+21,-7.562e-12
3.3179e+21,-6.646e-12
3.4837e+21,-6.765e-12
3.6579e+21,-4.427e-12
3.8408e+21,-3.751e-12
4.0329e+21,-4.431e-12
4.2345e+21,-1.117e-12
4.4462e+21,1.2999e-12
4.6686e+21,4.2462e-12
4.902e+21,2.7554e-12
5.1471e+21,1.4979e-12
5.4044e+21,1.3227e-12
5.6747e+21,2.7073e-12
5.9584e+21,5.7288e-12
6.2563e+21,5.831e-12
6.5691e+21,4.8075e-12
6.8976e+21,6.1849e-12
7.2425e+21,3.9284e-12
7.6046e+21,3.324e-12
7.9848e+21,2.1313e-12
8.384e+21,1.6485e-12
8.8033e+21,1.564e-12
9.2434e+21,3.059e-12
9.7056e+21,2.6164e-12
1.0191e+22,2.0742e-12
1.07e+22,6.3964e-13
1.1235e+22,-2.843e-13
1.1797e+22,2.5528e-13
1.2387e+22,-1.335e-13
1.3006e+22,-7.433e-13
1.3657e+22,4.422e-14
1.434e+22,-8.662e-13
1.5057e+22,2.2911e-13
1.5809e+22,-3.18e-13
1.66e+22,-6.483e-13
1.743e+22,-1.01e-13
1.8301e+22,-2.389e-13
1.9216e+22,-2.713e-13
2.0177e+22,-3.472e-13
2.1186e+22,-1.787e-12
2.2245e+22,-2.605e-12
2.3358e+22,-1.135e-12
2.4526e+22,-1.242e-12
2.5752e+22,-2.495e-13
