SMSA	Coverage	DTC	Age	Years	Specialty	Subscribe	Num Hospital	Conference	Practice Size	Visits	Program	Details Nosorr	Details Paenex	Details Other	Total Details	Mention Nosor	Minutes Nosorr	Samples Nosorr	Samples Paenex	Samples Other	Rx Nosorr	Rx Paenex	Rx Other	TotalRx	TherDays Nosorr	TherDays Paenex	TherDays Other	
St Louis	0.8	1.5	58	30	GP	YES	3	NO	3	388	NO	4	5	9	18	20	55	71	139	83	63	67	98	228	589	614	964	
St Louis	0.8	1.5	45	24	PD	YES	2	NO	7	330	YES	3	6	8	17	5	17	52	192	70	27	43	37	107	166	275	219	
St Louis	0.8	1.5	44	26	RH	NO	2	NO	5	516	YES	1	7	8	16	7	27	26	209	79	56	108	126	290	1139	2115	2488	
St Louis	0.8	1.5	37	15	PD	YES	4	YES	5	202	YES	2	2	6	10	8	22	44	47	46	18	15	41	74	103	87	253	
St Louis	0.8	1.5	35	0	GP	NO	4	YES	5	428	NO	4	4	5	13	7	17	75	117	50	149	130	52	331	1334	1153	446	
St Louis	0.8	1.5	50	18	PD	NO	2	YES	1	143	YES	1	1	2	4	6	22	24	30	24	28	37	29	94	170	191	207	
St Louis	0.8	1.5	45	15	RH	YES	5	NO	4	630	NO	8	5	3	16	35	92	142	152	27	248	316	120	684	4737	6071	2369	
St Louis	0.8	1.5	37	12	GP	YES	3	NO	4	271	YES	1	5	6	12	4	9	19	182	62	42	99	39	180	366	900	362	
St Louis	0.8	1.5	36	13	RH	NO	2	YES	8	652	YES	4	4	7	15	19	58	84	122	93	146	192	224	562	2615	3800	3942	
St Louis	0.8	1.5	40	20	RH	NO	5	NO	5	578	NO	5	5	4	14	25	65	106	152	54	117	230	84	431	2065	4313	1486	
St Louis	0.8	1.5	39	11	RH	NO	4	NO	6	691	YES	3	2	10	15	7	21	50	54	94	92	116	151	359	1892	2263	2754	
Akron	0.9	3	65	37	PD	YES	5	YES	5	326	NO	2	4	6	12	7	16	43	107	47	21	40	14	75	93	280	113	
Akron	0.9	3	55	33	PD	NO	5	NO	3	191	NO	1	1	4	6	2	6	19	48	53	9	12	32	53	50	67	200	
Akron	0.9	3	33	7	GP	YES	5	YES	4	322	NO	3	2	6	11	14	37	47	74	65	51	43	105	199	504	366	887	
Akron	0.9	3	65	24	PD	YES	3	YES	6	264	YES	1	5	6	12	3	6	20	146	52	50	45	22	117	307	306	116	
Akron	0.9	3	47	11	RH	YES	3	NO	4	482	YES	8	2	9	19	23	62	144	62	91	132	82	136	350	2671	1578	2510	
Akron	0.9	3	43	19	PD	YES	1	NO	4	206	YES	2	4	7	13	7	34	44	120	99	15	31	37	83	94	191	208	
Akron	0.9	3	56	34	PD	YES	1	NO	3	194	YES	4	2	3	9	11	25	86	79	17	26	33	9	68	123	208	75	
Akron	0.9	3	57	30	PD	YES	5	YES	3	162	NO	2	3	4	9	10	26	34	85	31	20	20	16	56	113	124	82	
Akron	0.9	3	40	16	GP	YES	4	YES	2	247	NO	2	2	4	8	7	22	34	47	26	66	90	81	237	599	844	719	
Akron	0.9	3	38	14	GP	NO	1	NO	7	435	YES	4	3	10	17	16	45	77	88	111	96	82	91	269	823	664	796	
Akron	0.9	3	39	13	GP	NO	2	NO	4	353	NO	3	1	7	11	5	16	57	34	69	76	44	69	189	660	427	642	
Akron	0.9	3	43	11	RH	YES	5	YES	4	635	NO	5	6	7	18	20	58	115	182	75	174	155	247	576	3187	2931	4688	
Akron	0.9	3	33	0	GP	NO	5	YES	3	272	NO	3	4	8	15	12	26	65	127	81	30	41	86	157	237	380	732	
Akron	0.9	3	47	13	RH	YES	5	YES	3	557	NO	7	5	9	21	29	98	156	135	89	130	123	189	442	2587	2292	3520	
Akron	0.9	3	54	29	RH	YES	2	NO	2	444	YES	8	2	4	14	26	77	138	61	35	248	147	58	453	4698	2698	1137	
Akron	0.9	3	33	6	PD	NO	5	YES	6	266	NO	3	6	4	13	12	38	63	157	45	25	38	33	96	149	256	209	
Akron	0.9	3	47	16	PD	NO	3	NO	4	182	YES	4	1	5	10	15	42	88	34	52	17	9	17	43	111	68	104	
Akron	0.9	3	59	33	GP	NO	0	NO	5	268	YES	4	1	4	9	11	37	65	26	32	63	39	21	123	571	344	215	
Akron	0.9	3	56	27	GP	YES	5	YES	2	267	NO	3	3	4	10	7	15	77	102	40	47	72	58	177	428	676	526	
Akron	0.9	3	42	11	PD	YES	3	NO	4	193	NO	2	2	4	8	6	19	37	50	40	12	13	54	79	92	80	347	
Stockton	0.96	3	41	11	RH	YES	5	NO	4	581	YES	8	7	7	22	27	80	164	201	71	154	167	138	459	3034	3273	2611	
Stockton	0.96	3	63	37	RH	NO	3	NO	3	458	YES	4	1	9	14	17	52	86	38	85	138	82	188	408	2649	1470	3605	
Stockton	0.96	3	53	21	GP	NO	5	YES	9	534	NO	3	5	9	17	13	47	54	169	99	108	91	148	347	1030	780	1292	
Stockton	0.96	3	37	9	PD	YES	5	NO	4	257	YES	2	3	3	8	8	26	49	75	29	38	36	51	125	247	240	298	
Stockton	0.96	3	51	21	RH	NO	2	YES	3	452	YES	5	3	8	16	19	66	116	76	82	113	78	162	353	2143	1637	3091	
Stockton	0.96	3	55	30	RH	NO	1	NO	2	638	YES	5	3	12	20	19	60	86	63	109	190	121	194	505	3600	2315	3567	
Stockton	0.96	3	47	20	RH	YES	5	YES	7	697	NO	7	5	8	20	28	91	123	156	72	157	250	77	484	2829	4528	1423	
Stockton	0.96	3	40	14	RH	YES	3	YES	3	566	YES	5	4	10	19	11	31	101	128	106	149	111	215	475	2836	2113	3950	
Stockton	0.96	3	30	4	RH	YES	5	NO	7	700	NO	6	8	18	32	30	97	109	269	197	196	166	242	604	3666	3108	4673	
Stockton	0.96	3	61	30	GP	YES	4	NO	4	381	NO	3	5	4	12	13	40	72	149	44	58	71	82	211	514	657	732	
Stockton	0.96	3	54	34	GP	NO	2	YES	1	217	NO	4	4	4	12	10	25	105	134	43	43	61	35	139	365	493	294	
Stockton	0.96	3	37	10	PD	NO	2	YES	4	138	YES	2	2	2	6	6	13	32	53	16	34	22	21	77	195	141	130	
Stockton	0.96	3	43	15	RH	NO	5	YES	3	445	YES	6	6	5	17	31	79	110	159	44	143	142	83	368	2679	2665	1709	
Stockton	0.96	3	32	6	RH	NO	2	NO	7	706	NO	4	7	13	24	10	31	70	182	114	169	149	147	465	3131	2774	2669	
Stockton	0.96	3	33	11	GP	NO	4	NO	2	315	NO	6	5	3	14	22	69	137	155	19	120	68	31	219	1101	555	248	
Stockton	0.96	3	52	18	RH	YES	2	NO	7	634	YES	4	5	8	17	11	31	88	161	81	122	266	255	643	2337	4915	5004	
Stockton	0.96	3	55	30	PD	YES	5	YES	3	146	NO	2	4	1	7	6	14	61	136	6	21	39	4	64	137	237	16	
Stockton	0.96	3	51	21	PD	YES	4	YES	3	206	NO	2	6	2	10	5	14	34	186	27	30	18	20	68	198	125	123	
Stockton	0.96	3	45	26	RH	NO	5	NO	1	409	YES	5	7	3	15	13	33	117	219	35	114	151	67	332	2171	2733	1325	
Fort Worth	0.77	1	59	26	RH	YES	5	YES	1	313	NO	2	3	8	13	10	35	36	78	61	10	50	126	186	144	991	2430	
Fort Worth	0.77	1	35	5	PD	NO	5	YES	9	349	YES	5	6	7	18	18	40	106	167	63	64	68	44	176	407	339	268	
Fort Worth	0.77	1	48	20	GP	YES	5	YES	6	338	NO	2	4	5	11	10	44	51	91	45	60	51	60	171	523	490	511	
Fort Worth	0.77	1	53	25	GP	NO	3	YES	5	468	NO	1	6	8	15	4	13	20	220	65	76	133	144	353	649	1217	1236	
Fort Worth	0.77	1	53	32	GP	YES	3	NO	8	401	YES	5	6	6	17	23	70	98	203	78	132	121	30	283	1292	1058	288	
Fort Worth	0.77	1	44	14	PD	NO	0	NO	6	283	YES	2	3	3	8	8	26	42	101	41	43	51	51	145	180	351	311	
Fort Worth	0.77	1	46	9	RH	NO	3	NO	1	456	NO	6	3	6	15	17	54	111	88	58	101	129	112	342	1952	2481	2276	
Fort Worth	0.77	1	36	11	PD	YES	5	YES	5	240	NO	3	3	3	9	13	33	46	104	36	12	19	29	60	89	99	151	
Fort Worth	0.77	1	52	20	GP	YES	4	NO	6	502	YES	3	6	8	17	11	17	50	167	74	47	54	80	181	380	446	703	
Fort Worth	0.77	1	60	35	RH	YES	4	NO	3	436	NO	6	4	8	18	17	50	110	143	89	78	64	109	251	1501	1166	2128	
Fort Worth	0.77	1	34	1	RH	NO	4	YES	5	605	YES	3	5	7	15	13	39	61	166	68	107	142	187	436	2085	2642	3390	
Fort Worth	0.77	1	59	35	GP	NO	1	YES	5	345	YES	3	2	3	8	12	37	58	59	20	59	63	28	150	550	555	239	
Fort Worth	0.77	1	57	27	RH	NO	5	YES	7	589	NO	5	5	9	19	10	24	96	139	69	62	93	138	293	1209	1871	2650	
Fort Worth	0.77	1	32	4	GP	NO	4	NO	2	264	YES	4	2	5	11	13	39	89	85	46	27	39	31	97	245	344	254	
Fort Worth	0.77	1	63	35	RH	NO	5	YES	4	572	YES	8	3	12	23	24	73	152	86	118	181	60	151	392	3432	1197	2743	
Fort Worth	0.77	1	41	12	RH	NO	4	NO	13	781	NO	10	8	11	29	39	104	192	248	97	343	267	202	812	6454	5173	3913	
Fort Worth	0.77	1	53	20	PD	YES	5	YES	3	140	NO	1	3	3	7	3	10	14	86	27	15	23	7	45	83	180	25	
Fort Worth	0.77	1	50	29	RH	NO	3	NO	5	622	NO	8	4	9	21	26	96	164	133	80	145	196	215	556	2764	3769	4044	
Fort Worth	0.77	1	58	32	PD	NO	4	NO	8	348	NO	1	3	5	9	2	7	26	89	49	18	51	46	115	125	324	291	
Tampa	0.9	1.5	40	12	GP	NO	5	YES	2	259	NO	3	1	7	11	11	26	55	36	56	57	24	116	197	492	222	1013	
Tampa	0.9	1.5	59	30	PD	NO	5	YES	3	164	NO	2	2	6	10	9	32	30	61	58	11	8	34	53	63	50	185	
Tampa	0.9	1.5	30	2	PD	NO	4	YES	7	314	YES	3	3	8	14	9	29	66	93	76	22	38	74	134	130	273	440	
Tampa	0.9	1.5	62	38	PD	YES	3	YES	6	272	NO	1	2	5	8	4	9	12	55	54	17	26	42	85	125	168	230	
Tampa	0.9	1.5	64	38	PD	YES	2	NO	6	289	YES	2	1	3	6	7	12	41	21	24	43	37	52	132	268	264	323	
Tampa	0.9	1.5	35	2	GP	NO	1	NO	6	244	YES	3	2	1	6	17	50	58	59	7	37	40	54	131	313	356	510	
Tampa	0.9	1.5	48	16	RH	YES	5	YES	7	667	NO	5	8	9	22	16	38	93	243	85	143	170	221	534	2688	3246	4359	
Tampa	0.9	1.5	45	19	GP	NO	3	YES	6	398	YES	2	2	8	12	6	23	42	54	85	35	29	82	146	298	240	712	
Tampa	0.9	1.5	45	21	PD	YES	5	YES	3	136	YES	1	1	2	4	6	12	32	34	25	20	23	19	62	130	92	91	
Tampa	0.9	1.5	60	39	GP	YES	3	YES	2	330	NO	6	4	3	13	19	64	97	115	27	64	67	30	161	576	620	260	
Tampa	0.9	1.5	52	28	PD	NO	1	NO	9	363	YES	8	6	4	18	32	105	153	172	46	38	47	44	129	234	298	289	
Tampa	0.9	1.5	55	26	GP	YES	4	NO	4	348	NO	4	2	6	12	10	24	75	46	57	69	41	117	227	647	384	1005	
Tampa	0.9	1.5	32	0	RH	NO	0	NO	2	472	YES	7	5	9	21	29	75	160	135	93	82	65	110	257	1601	1104	2060	
Tampa	0.9	1.5	38	16	PD	NO	2	NO	5	275	YES	2	3	3	8	12	32	62	97	24	46	52	33	131	232	328	204	
Tampa	0.9	1.5	63	36	PD	YES	5	YES	1	116	NO	1	3	2	6	5	16	15	87	19	8	19	10	37	46	90	71	
Tampa	0.9	1.5	31	0	RH	NO	4	YES	6	650	YES	7	5	12	24	23	55	123	160	119	158	161	208	527	2924	2818	3859	
Tampa	0.9	1.5	55	40	GP	YES	1	YES	1	148	YES	3	3	5	11	10	26	63	88	50	25	21	42	88	225	166	416	
Tampa	0.9	1.5	49	32	GP	YES	5	YES	5	351	YES	3	5	8	16	11	45	58	144	89	84	92	66	242	800	825	559	
Tampa	0.9	1.5	44	16	GP	NO	2	NO	6	411	YES	4	2	6	12	19	57	90	57	56	68	104	98	270	649	858	906	
East Lansing	0.87	1	44	13	RH	NO	5	YES	4	531	NO	5	4	11	20	17	55	103	111	105	140	69	204	413	2561	1364	4118	
East Lansing	0.87	1	49	30	RH	NO	2	YES	3	522	YES	5	3	5	13	14	41	100	107	66	206	135	181	522	3772	2533	3395	
East Lansing	0.87	1	61	40	GP	YES	2	YES	3	257	NO	2	3	3	8	6	10	23	79	24	38	66	50	154	382	601	471	
East Lansing	0.87	1	49	19	RH	NO	2	NO	2	459	YES	3	6	8	17	14	35	66	160	79	106	91	186	383	2128	1731	3450	
East Lansing	0.87	1	31	7	RH	NO	5	YES	3	516	NO	3	4	4	11	10	26	65	131	36	249	153	169	571	4925	2929	3165	
East Lansing	0.87	1	31	2	PD	NO	2	NO	6	251	YES	5	3	5	13	14	40	106	107	69	37	21	30	88	212	123	150	
East Lansing	0.87	1	36	6	PD	NO	3	NO	4	163	NO	1	2	2	5	2	6	23	61	24	11	10	14	35	63	68	73	
East Lansing	0.87	1	57	33	RH	NO	3	NO	3	408	NO	5	7	12	24	14	43	113	200	103	86	82	84	252	1606	1568	1675	
East Lansing	0.87	1	48	10	RH	YES	3	NO	3	527	YES	3	2	9	14	10	35	51	56	69	95	101	240	436	1846	1983	4753	
East Lansing	0.87	1	64	36	RH	NO	1	NO	8	677	YES	5	10	9	24	14	33	95	284	84	122	210	150	482	2214	4017	2940	
East Lansing	0.87	1	47	23	RH	NO	3	NO	4	488	YES	8	4	3	15	21	60	164	110	21	236	219	27	482	4535	4217	558	
East Lansing	0.87	1	64	39	RH	NO	1	YES	2	342	YES	4	1	5	10	15	37	83	31	40	57	60	36	153	1112	1204	656	
East Lansing	0.87	1	61	33	GP	YES	5	NO	2	219	NO	3	2	7	12	7	20	60	66	61	47	22	49	118	406	183	417	
East Lansing	0.87	1	52	29	PD	YES	5	YES	5	226	NO	2	2	4	8	6	15	67	63	43	12	40	33	85	47	214	224	
East Lansing	0.87	1	44	21	PD	NO	5	YES	1	69	NO	3	2	1	6	12	47	41	61	7	17	22	10	49	85	144	53	
East Lansing	0.87	1	42	15	RH	NO	3	NO	1	460	NO	4	7	7	18	13	43	74	217	57	142	133	92	367	2848	2427	1802	
East Lansing	0.87	1	43	18	GP	YES	5	YES	7	324	NO	2	6	7	15	7	27	33	183	73	84	46	60	190	798	391	559	
East Lansing	0.87	1	60	30	PD	NO	5	YES	2	164	NO	2	1	1	4	8	22	47	33	7	22	26	13	61	141	161	73	
Tucson	0.79	1	40	9	GP	NO	5	YES	1	168	NO	2	2	5	9	9	28	39	69	42	59	9	20	88	512	80	164	
Tucson	0.79	1	55	31	PD	YES	4	NO	4	221	YES	3	1	4	8	11	29	48	22	44	35	8	45	88	239	69	339	
Tucson	0.79	1	56	23	PD	NO	3	YES	3	169	YES	2	2	4	8	10	25	39	57	39	43	8	42	93	234	28	270	
Tucson	0.79	1	56	30	RH	YES	4	YES	4	544	NO	5	4	12	21	20	66	96	140	118	143	160	182	485	2736	2935	3559	
Tucson	0.79	1	32	0	RH	NO	2	NO	3	504	NO	2	8	7	17	10	31	46	241	64	107	218	120	445	2025	4055	2149	
Tucson	0.79	1	57	25	RH	YES	3	NO	7	641	YES	8	3	16	27	28	80	203	95	150	192	83	160	435	3595	1610	2825	
Tucson	0.79	1	42	12	PD	YES	5	YES	1	132	NO	2	1	3	6	9	29	42	25	38	34	11	11	56	170	75	74	
Tucson	0.79	1	44	17	RH	NO	1	NO	5	580	YES	7	7	15	29	19	48	139	235	140	86	106	197	389	1558	1871	3693	
Tucson	0.79	1	53	28	GP	YES	5	YES	3	325	NO	6	4	6	16	18	48	124	123	46	95	45	48	188	929	416	429	
Tucson	0.79	1	61	31	GP	YES	5	NO	4	260	YES	3	1	5	9	3	16	42	31	43	34	29	89	152	308	242	757	
Tucson	0.79	1	63	32	RH	YES	5	YES	2	579	NO	3	4	15	22	7	27	57	118	135	78	44	262	384	1545	772	4679	
Tucson	0.79	1	60	30	PD	NO	2	NO	2	177	YES	1	2	1	4	3	12	20	69	3	13	14	16	43	58	76	79	
Tucson	0.79	1	32	14	GP	NO	1	YES	6	464	NO	9	2	9	20	39	117	154	62	88	122	77	92	291	1024	689	860	
Tucson	0.79	1	34	5	RH	NO	3	NO	7	656	YES	5	3	6	14	13	31	93	87	71	228	188	234	650	4423	3456	4470	
Tucson	0.79	1	31	9	GP	NO	5	YES	8	559	YES	2	4	9	15	4	9	34	128	78	12	100	148	260	93	925	1248	
Tucson	0.79	1	61	38	GP	YES	5	YES	3	233	NO	1	5	1	7	4	13	16	173	13	58	72	17	147	486	669	139	
Tucson	0.79	1	51	29	RH	NO	3	YES	2	476	YES	2	2	5	9	6	15	34	68	42	62	96	200	358	1234	1819	3716	
Tucson	0.79	1	35	5	GP	NO	5	YES	4	360	NO	1	5	7	13	8	31	18	161	61	46	65	74	185	435	578	579	
Tucson	0.79	1	59	35	PD	YES	5	YES	3	94	NO	1	1	3	5	7	19	22	25	21	10	9	22	41	63	35	134	
Youngstown	0.95	5	31	0	RH	NO	3	YES	6	540	YES	7	6	6	19	32	104	148	178	62	102	105	98	305	1994	2021	1826	
Youngstown	0.95	5	53	35	PD	YES	4	YES	1	116	NO	1	1	1	3	5	23	23	37	10	11	16	10	37	63	89	75	
Youngstown	0.95	5	64	37	GP	YES	5	YES	4	267	NO	2	3	3	8	5	13	23	102	24	21	43	25	89	230	425	225	
Youngstown	0.95	5	59	33	RH	YES	5	YES	6	680	YES	2	7	13	22	10	15	34	222	139	73	155	197	425	1406	3060	3769	
Youngstown	0.95	5	50	20	GP	NO	5	YES	3	216	NO	1	3	2	6	2	5	26	113	17	49	47	26	122	444	441	224	
Youngstown	0.95	5	50	24	RH	YES	5	YES	4	445	NO	2	6	6	14	9	22	40	157	56	110	168	196	474	1966	3176	3852	
Youngstown	0.95	5	53	28	RH	YES	4	YES	2	484	NO	6	3	8	17	11	33	120	94	87	105	112	137	354	1784	2037	2780	
Youngstown	0.95	5	44	13	RH	YES	3	NO	3	526	YES	3	3	8	14	17	43	62	97	70	46	64	237	347	862	1115	4564	
Youngstown	0.95	5	50	26	PD	NO	1	NO	2	181	YES	2	3	3	8	7	21	50	97	32	14	23	25	62	79	104	139	
Youngstown	0.95	5	47	14	GP	YES	4	NO	7	381	NO	3	5	4	12	9	21	63	148	45	30	86	64	180	230	805	633	
Youngstown	0.95	5	31	3	RH	YES	4	NO	1	435	NO	2	3	5	10	4	11	30	89	40	109	156	90	355	2044	2974	1765	
Youngstown	0.95	5	48	23	GP	YES	5	YES	3	378	NO	5	4	5	14	12	34	90	101	60	85	59	45	189	810	530	384	
Youngstown	0.95	5	50	33	PD	YES	1	YES	1	123	NO	1	1	5	7	2	5	21	38	52	10	10	16	36	57	57	103	
Youngstown	0.95	5	41	9	RH	NO	1	YES	6	614	YES	6	6	15	27	19	60	111	179	169	139	159	203	501	2522	3062	4343	
Youngstown	0.95	5	43	14	RH	NO	1	NO	3	554	YES	6	6	8	20	21	57	122	181	88	187	139	161	487	3487	2494	3063	
Youngstown	0.95	5	61	34	PD	YES	5	YES	6	276	NO	3	2	4	9	10	32	63	50	48	43	38	42	123	257	216	255	
Youngstown	0.95	5	43	17	RH	YES	4	YES	8	631	YES	6	7	14	27	25	71	112	201	124	187	185	170	542	3570	3487	3290	
Youngstown	0.95	5	36	6	RH	NO	0	NO	1	459	YES	3	5	9	17	16	42	74	136	91	40	54	179	273	728	1022	3314	
Youngstown	0.95	5	59	27	RH	NO	5	YES	7	648	NO	4	5	6	15	10	30	63	142	47	156	176	201	533	3042	3202	4029	
Youngstown	0.95	5	43	16	GP	YES	5	YES	2	274	NO	1	4	4	9	4	9	15	157	42	32	44	27	103	281	431	224	
Virginia Beach	0.76	2	41	13	GP	NO	5	NO	6	321	NO	3	3	6	12	14	57	38	75	71	98	98	91	287	848	836	787	
Virginia Beach	0.76	2	34	4	GP	YES	2	NO	6	388	YES	3	5	4	12	10	37	66	157	39	40	36	52	128	344	278	498	
Virginia Beach	0.76	2	47	26	GP	YES	5	YES	5	316	NO	6	1	3	10	19	46	110	43	30	119	99	113	331	1032	926	895	
Virginia Beach	0.76	2	32	9	PD	YES	2	YES	2	148	YES	1	1	1	3	2	7	25	35	5	33	30	10	73	190	189	45	
Virginia Beach	0.76	2	32	12	PD	NO	2	NO	5	211	YES	2	4	2	8	4	11	53	122	21	31	34	24	89	179	211	181	
Virginia Beach	0.76	2	43	17	GP	YES	3	YES	7	457	NO	9	5	9	23	30	74	161	135	73	91	89	116	296	780	851	1066	
Virginia Beach	0.76	2	41	15	RH	NO	5	YES	4	658	NO	2	6	11	19	8	23	50	190	112	52	60	201	313	932	1198	3635	
Virginia Beach	0.76	2	63	40	GP	YES	4	YES	6	366	NO	4	4	7	15	14	46	74	114	104	85	79	162	326	794	795	1572	
Virginia Beach	0.76	2	44	15	RH	YES	4	YES	1	350	NO	5	5	8	18	16	51	113	160	95	68	75	85	228	1321	1441	1622	
Virginia Beach	0.76	2	58	35	RH	YES	5	NO	1	352	NO	9	2	5	16	24	73	175	42	40	114	97	60	271	2180	1803	1019	
Virginia Beach	0.76	2	63	34	PD	YES	1	NO	1	87	NO	3	3	2	8	10	21	46	76	18	17	14	11	42	114	68	78	
Virginia Beach	0.76	2	59	37	PD	YES	3	NO	2	136	NO	1	2	5	8	5	18	21	60	40	7	31	29	67	66	173	164	
Virginia Beach	0.76	2	60	30	PD	NO	3	NO	4	173	YES	1	2	3	6	3	8	28	59	38	31	23	11	65	145	118	52	
Virginia Beach	0.76	2	46	18	PD	NO	3	NO	5	234	YES	5	2	3	10	20	55	112	53	36	43	35	40	118	241	210	228	
Virginia Beach	0.76	2	57	31	RH	NO	4	YES	2	545	NO	5	3	9	17	16	51	95	104	93	88	90	142	320	1609	1698	2701	
Virginia Beach	0.76	2	56	28	GP	YES	1	NO	6	413	YES	4	3	6	13	11	39	82	89	57	123	118	105	346	1085	1088	939	
Virginia Beach	0.76	2	44	15	RH	YES	4	NO	9	698	NO	5	7	12	24	25	76	105	205	110	254	243	166	663	4718	4344	3213	
Virginia Beach	0.76	2	63	35	RH	YES	2	NO	5	487	YES	7	5	9	21	25	73	130	156	80	127	157	170	454	2456	2850	3080	
Mission	0.99	1	52	31	PD	YES	5	YES	8	357	NO	3	4	8	15	8	25	63	128	83	35	30	53	118	260	206	330	
Mission	0.99	1	62	35	GP	NO	2	YES	12	628	YES	5	3	10	18	18	57	93	91	121	94	81	169	344	821	755	1578	
Mission	0.99	1	58	37	PD	YES	3	YES	2	166	NO	2	1	4	7	8	23	27	44	50	30	27	19	76	195	177	124	
Mission	0.99	1	56	34	PD	NO	3	NO	1	103	NO	1	1	1	3	3	6	26	26	7	23	22	8	53	144	141	35	
Mission	0.99	1	61	31	GP	YES	5	NO	2	262	NO	3	4	3	10	12	31	74	119	20	85	34	39	158	702	294	350	
Mission	0.99	1	53	22	GP	NO	3	NO	7	348	YES	2	3	6	11	6	14	35	93	66	54	101	32	187	508	883	283	
Mission	0.99	1	35	0	RH	NO	3	YES	7	583	NO	5	3	13	21	17	43	88	94	117	156	97	118	371	2955	1742	2353	
Mission	0.99	1	56	31	RH	NO	4	YES	2	377	YES	4	2	1	7	14	39	74	79	14	96	56	94	246	1760	1144	1853	
Mission	0.99	1	55	22	PD	YES	3	YES	3	150	YES	1	1	4	6	7	27	22	28	55	9	10	34	53	50	49	189	
