who	Newbie	Age	Gender	Household.Income	Sexual.Preference	Country	Education.Attainment	Major.Occupation	Marital.Status	Years.on.Internet
id76937	0	27	Male	$50-74	Heterosexual	Florida	Masters	Professional	Married	4-6 yr
id88303	0	26	Male	$75-99	Heterosexual	United Kingdom	Some College	Computer	Married	1-3 yr
id7274	0	NA	Female	NA	Heterosexual	California	Masters	Professional	Single	4-6 yr
id84540	0	54	Female	$75-99	Heterosexual	New York	Doctoral	Education	Married	1-3 yr
id84981	0	34	Male	$20-29	Gay male	Texas	Some College	Professional	Other	1-3 yr
id72903	0	47	Male	$20-29	NA	Florida	Some College	Management	Married	1-3 yr
id84541	0	63	Male	$30-39	Heterosexual	Texas	Professional	Professional	Married	1-3 yr
id72509	0	27	Male	$10-19	Heterosexual	Georgia	College	Education	Married	4-6 yr
id79696	0	19	Female	Over $100	Heterosexual	Missouri	Some College	Education	Single	1-3 yr
id84378	0	26	Female	$40-49	Heterosexual	Georgia	Masters	Management	Single	1-3 yr
id71691	0	28	Male	$50-74	Heterosexual	Oregon	Masters	Computer	Married	Over 7 yr
id73188	1	22	Male	Under $10	Heterosexual	Brazil	College	Education	Single	Under 6 mo
id72093	1	30	Female	$40-49	Heterosexual	Maryland	College	Education	Other	Under 6 mo
id81989	0	28	Female	NA	Heterosexual	Canada & Mexico	College	Computer	Other	4-6 yr
id85442	0	27	Male	$20-29	Heterosexual	Michigan	Masters	Management	Single	Over 7 yr
id88928	1	25	Male	$20-29	Heterosexual	Ontario	Special	Management	Other	6-12 mo
id73058	1	39	Male	$40-49	Heterosexual	Nebraska	Some College	Other	Divorced	Under 6 mo
id82129	0	21	Male	NA	Heterosexual	Ohio	Some College	Computer	Single	Over 7 yr
id77028	0	48	Female	NA	Heterosexual	Pennsylvania	Doctoral	Professional	Married	4-6 yr
id86358	0	33	Male	$75-99	Heterosexual	Pennsylvania	Professional	Professional	Married	1-3 yr
id85928	0	22	Male	Under $10	Heterosexual	California	Some College	Education	Single	1-3 yr
id87370	1	24	Male	$50-74	Heterosexual	California	Some College	Other	Single	6-12 mo
id87870	0	34	Male	$50-74	Heterosexual	Illinois	Masters	Computer	Married	4-6 yr
id87895	0	39	Male	$30-39	Heterosexual	Massachusetts	Special	Computer	Married	Over 7 yr
id72615	0	32	Female	Over $100	Heterosexual	Georgia	College	Computer	Married	1-3 yr
id84547	1	33	Male	$10-19	Heterosexual	Colombia	Masters	Professional	Married	6-12 mo
id72892	0	19	Male	Over $100	Heterosexual	France	College	Computer	Single	4-6 yr
id84557	1	19	Male	Under $10	Heterosexual	Massachusetts	Some College	Education	Single	6-12 mo
id11620	0	24	Male	$40-49	Heterosexual	Texas	Some College	Professional	Married	1-3 yr
id82938	0	43	Male	$50-74	Heterosexual	Pennsylvania	College	Professional	Married	4-6 yr
id89921	0	35	Female	$30-39	Heterosexual	Florida	High School	Other	Married	1-3 yr
id82644	0	41	Male	Over $100	Heterosexual	Washington D.C.	Doctoral	Education	Married	4-6 yr
id81660	0	24	Male	$10-19	Heterosexual	Georgia	College	Computer	Single	4-6 yr
id85742	0	47	Male	$50-74	Heterosexual	Oklahoma	Some College	Professional	Married	1-3 yr
id603	0	26	Female	$20-29	Heterosexual	United Kingdom	College	Professional	Single	1-3 yr
id77753	0	28	Male	$75-99	Heterosexual	Quebec	College	Computer	Single	1-3 yr
id87418	1	25	Female	$30-39	Bisexual	Hawaii	Some College	Other	Single	6-12 mo
id89551	1	20	Male	$30-39	Heterosexual	California	Some College	Education	Single	6-12 mo
id87871	0	54	Male	Over $100	Heterosexual	Hawaii	Professional	Computer	Married	1-3 yr
id87901	1	47	Male	NA	Heterosexual	Illinois	College	Computer	Married	6-12 mo
id84567	0	49	Female	$40-49	Heterosexual	Wisconsin	Some College	Computer	Divorced	1-3 yr
id73540	1	35	Male	$10-19	Heterosexual	New York	Special	Other	Other	6-12 mo
id73961	0	28	Male	$50-74	Heterosexual	Australia	College	Professional	Single	Over 7 yr
id79046	0	32	Male	$20-29	Heterosexual	California	Some College	Computer	Married	4-6 yr
id47779	1	23	Female	$20-29	Heterosexual	California	Special	Professional	Single	Under 6 mo
id79712	0	31	Male	$30-39	Heterosexual	Texas	College	Computer	Married	Over 7 yr
id83401	0	20	Male	Over $100	Heterosexual	Ohio	Some College	Education	Single	4-6 yr
id90041	0	28	Male	Under $10	Heterosexual	United Kingdom	Masters	Education	Single	4-6 yr
id84580	0	20	Male	Under $10	Heterosexual	Pennsylvania	Some College	Education	Single	4-6 yr
id71698	1	36	Male	$30-39	Heterosexual	Oklahoma	College	Other	Married	Under 6 mo
id43480	0	25	Male	$20-29	Heterosexual	Indiana	College	Computer	Married	4-6 yr
id80153	0	30	Male	$50-74	Heterosexual	Texas	College	Computer	Married	Over 7 yr
id81666	0	27	Male	$20-29	Bisexual	Germany	Some College	Professional	Single	4-6 yr
id84569	0	29	Female	$30-39	Heterosexual	British Columbia	Some College	Management	Single	1-3 yr
id84570	1	59	Female	NA	Heterosexual	Arizona	Some College	Other	Married	Under 6 mo
id78720	0	32	Female	Over $100	Heterosexual	Missouri	Masters	Professional	Married	1-3 yr
id86859	1	29	Female	$10-19	Heterosexual	Montana	Special	Management	Widowed	Under 6 mo
id76079	0	31	Male	$50-74	Heterosexual	Kentucky	College	Other	Married	4-6 yr
id77710	0	NA	Male	NA	NA	Massachusetts	Masters	Management	Married	1-3 yr
id79099	0	28	Female	$50-74	Heterosexual	Massachusetts	Other	Education	Married	1-3 yr
id81743	0	44	Female	Over $100	Heterosexual	California	College	Computer	Married	Over 7 yr
id84526	0	40	Male	$40-49	Heterosexual	Minnesota	Masters	Education	Single	1-3 yr
id71525	1	41	Male	$50-74	Heterosexual	United Kingdom	Doctoral	Computer	Married	6-12 mo
id88014	1	39	Male	$50-74	Heterosexual	Ontario	High School	Computer	Married	6-12 mo
id82471	0	20	Male	Over $100	Heterosexual	Pennsylvania	Some College	Education	Single	1-3 yr
id73859	0	32	Female	$40-49	Heterosexual	Missouri	Masters	Education	Other	4-6 yr
id79324	0	60	Male	$40-49	Heterosexual	California	Some College	Other	Married	1-3 yr
id78931	0	23	Male	Under $10	Heterosexual	California	Some College	Education	Single	4-6 yr
id89799	0	35	Male	Over $100	Heterosexual	California	College	Management	Married	1-3 yr
id73962	0	23	Male	$20-29	Heterosexual	Israel	College	Professional	Married	4-6 yr
id87902	1	39	Male	NA	Heterosexual	New York	College	Other	Single	6-12 mo
id77398	1	47	Male	$40-49	Heterosexual	Georgia	College	Computer	Married	Under 6 mo
id74774	0	46	Female	$75-99	Heterosexual	Iowa	Some College	Management	Married	1-3 yr
id82415	0	28	Male	$50-74	Heterosexual	Colorado	College	Management	Married	4-6 yr
id84093	1	45	Male	$50-74	Heterosexual	New York	Some College	Professional	Married	6-12 mo
id88723	0	52	Male	$50-74	Heterosexual	Alaska	Masters	Education	Married	Over 7 yr
id11947	0	50	Male	NA	na	Virginia	Doctoral	Professional	Married	4-6 yr
id81966	1	45	Male	$50-74	Heterosexual	Pennsylvania	Some College	Other	Married	6-12 mo
id88720	0	20	Male	$20-29	Heterosexual	Nova Scotia	Some College	Education	Single	1-3 yr
id80138	0	52	Male	NA	Heterosexual	Massachusetts	College	Professional	NA	Over 7 yr
id85580	0	32	Male	$50-74	Heterosexual	Massachusetts	College	Computer	Single	Over 7 yr
id83890	1	48	Female	$20-29	Heterosexual	Ontario	Some College	Computer	Married	6-12 mo
id54517	0	33	Female	$50-74	Heterosexual	Texas	Masters	Professional	Single	4-6 yr
id89821	1	57	Male	$20-29	Heterosexual	Pennsylvania	Some College	Other	Married	Under 6 mo
id73749	1	45	Male	$75-99	Heterosexual	Hawaii	Masters	Professional	Married	6-12 mo
id83723	1	33	Male	$30-39	Heterosexual	Pennsylvania	College	Management	Single	6-12 mo
id88482	1	30	Male	$20-29	Heterosexual	Kentucky	Some College	Education	Single	Under 6 mo
id89822	1	52	Male	$50-74	Heterosexual	New York	College	Education	Married	6-12 mo
id81674	0	30	Male	$50-74	Heterosexual	Washington	College	Computer	Married	Over 7 yr
id86582	1	54	Male	$50-74	Heterosexual	Wisconsin	High School	Other	Married	Under 6 mo
id89581	0	56	Male	$50-74	Heterosexual	Alaska	Some College	Management	Married	1-3 yr
id77390	0	37	Male	Under $10	Heterosexual	Romania	Masters	Computer	Married	1-3 yr
id21985	0	17	Male	$75-99	Heterosexual	Michigan	Other	Education	Single	4-6 yr
id83986	0	19	Female	NA	Heterosexual	New York	Some College	Education	Single	1-3 yr
id85857	0	17	Male	$40-49	Heterosexual	Missouri	High School	Education	Single	1-3 yr
id43713	0	24	Male	$40-49	Heterosexual	Norway	College	Computer	Other	4-6 yr
id89872	0	45	Male	$75-99	Heterosexual	Louisiana	College	Computer	Married	Over 7 yr
id6172	0	28	Male	$10-19	Heterosexual	Oklahoma	Some College	Computer	Single	4-6 yr
id76082	0	42	Male	NA	Heterosexual	Texas	Some College	Professional	Married	1-3 yr
id79426	1	23	Female	$40-49	Heterosexual	Alberta	College	Professional	Married	Under 6 mo
id81977	0	29	Male	$20-29	Heterosexual	West Virginia	Masters	Professional	Divorced	4-6 yr
id89845	0	25	Female	$20-29	Heterosexual	Maryland	College	Computer	Single	1-3 yr
id74135	1	16	Male	NA	Heterosexual	Pennsylvania	High School	Education	Single	Under 6 mo
id81982	0	22	Male	Under $10	Heterosexual	Illinois	College	Education	Single	1-3 yr
id89850	0	30	Male	$40-49	Gay male	Alberta	College	Management	Other	1-3 yr
id81991	0	35	Male	$50-74	Heterosexual	Canada & Mexico	Special	Management	Married	4-6 yr
id75867	0	30	Male	$50-74	Heterosexual	Alberta	Masters	Professional	Married	Over 7 yr
id79329	0	9	Female	NA	Heterosexual	Arkansas	Other	Education	Single	1-3 yr
id83891	0	28	Female	$20-29	Bisexual	New York	Some College	Education	Other	1-3 yr
id85858	0	64	Male	$50-74	Heterosexual	Virginia	College	Professional	Married	4-6 yr
id87029	0	30	Male	$20-29	Heterosexual	Netherlands	Other	Computer	Single	1-3 yr
id84010	1	34	Female	$75-99	Heterosexual	Kentucky	College	Professional	Married	6-12 mo
id73231	0	14	Male	NA	Heterosexual	California	Grammar	Education	Single	1-3 yr
id81995	0	32	Female	NA	Heterosexual	California	College	Computer	Single	1-3 yr
id10788	0	36	Male	$50-74	Heterosexual	California	Masters	Professional	Single	1-3 yr
id75161	0	38	Male	$50-74	NA	Germany	Masters	Computer	Married	4-6 yr
id76086	1	20	Male	$10-19	Heterosexual	Ohio	Some College	Management	Single	Under 6 mo
id76090	0	48	Male	$75-99	Heterosexual	New Hampshire	College	Management	Married	1-3 yr
id78585	1	45	Male	$50-74	Heterosexual	North Carolina	Some College	Other	Married	Under 6 mo
id71782	0	38	Male	Over $100	Heterosexual	Florida	College	Professional	Married	1-3 yr
id83203	0	NA	Male	NA	Heterosexual	Louisiana	College	Professional	Married	1-3 yr
id76092	1	28	Female	$30-39	Heterosexual	Ontario	High School	Education	Single	Under 6 mo
id87420	0	22	Female	$40-49	Transgender	British Columbia	Some College	Computer	Single	4-6 yr
id74776	1	59	Male	$50-74	Heterosexual	New Hampshire	Masters	Professional	Married	Under 6 mo
id76098	0	47	Female	$50-74	Heterosexual	Illinois	Masters	Professional	Divorced	4-6 yr
id79401	0	18	Male	Under $10	Heterosexual	California	High School	Education	Single	1-3 yr
id76657	0	28	Male	NA	Heterosexual	Russia	Masters	Education	Single	1-3 yr
id90159	0	44	Female	NA	Heterosexual	North Carolina	College	Other	Married	4-6 yr
id79509	0	42	Male	$75-99	Heterosexual	Nevada	High School	Computer	Single	Over 7 yr
id82002	0	39	Male	$30-39	Heterosexual	Washington	Some College	Computer	Married	1-3 yr
id85672	1	33	Male	Over $100	Heterosexual	California	College	Management	Married	6-12 mo
id73111	0	52	Female	$75-99	Heterosexual	Michigan	Some College	Computer	Married	1-3 yr
id89385	0	24	Male	NA	Heterosexual	New York	Masters	Computer	Single	Over 7 yr
id74601	0	52	Female	$50-74	Heterosexual	Illinois	College	Management	Divorced	1-3 yr
id84588	0	39	Male	$75-99	Heterosexual	Nova Scotia	College	Management	Married	1-3 yr
id74717	0	32	Male	NA	Heterosexual	Washington	College	Computer	Married	1-3 yr
id90178	0	36	Male	$30-39	Heterosexual	Washington	High School	Other	Married	1-3 yr
id90061	0	21	Male	$20-29	Heterosexual	Wisconsin	Some College	Computer	Single	4-6 yr
id76102	0	19	Male	NA	Heterosexual	New York	High School	Education	Single	1-3 yr
id60321	0	37	Male	$20-29	Heterosexual	Alberta	College	Computer	Married	4-6 yr
id82459	0	28	Male	$30-39	Heterosexual	California	Some College	Computer	Single	4-6 yr
id74885	0	29	Male	$20-29	Heterosexual	Australia	Masters	Computer	Single	1-3 yr
id88939	0	25	Female	NA	Heterosexual	Italy	Some College	Education	Single	1-3 yr
id82648	0	28	Male	$50-74	Heterosexual	New Mexico	College	Education	Single	1-3 yr
id71307	0	32	Female	NA	Heterosexual	Illinois	Masters	Education	Single	1-3 yr
id75257	0	25	Female	$30-39	Heterosexual	Maine	College	Professional	Married	4-6 yr
id82016	0	23	Male	Under $10	Heterosexual	Austria	College	Education	Single	1-3 yr
id84572	0	62	Male	Over $100	Heterosexual	California	College	Computer	Married	Over 7 yr
id85912	0	25	Female	$75-99	Heterosexual	Georgia	College	Computer	Married	1-3 yr
id71311	0	34	Female	$20-29	Lesbian	Ohio	Some College	Management	Other	1-3 yr
id71313	0	31	Male	$40-49	Heterosexual	New Jersey	Some College	Computer	Married	1-3 yr
id72386	0	24	Male	$50-74	Heterosexual	Singapore	Some College	Education	Single	1-3 yr
id82260	0	18	Male	NA	Heterosexual	Mozambique	High School	Education	Single	1-3 yr
id76108	1	35	Female	$40-49	Heterosexual	Massachusetts	Some College	Professional	Divorced	Under 6 mo
id80613	0	31	Female	Over $100	Bisexual	Iowa	College	Professional	Married	Over 7 yr
id71323	0	37	Male	$50-74	Heterosexual	Canada & Mexico	Some College	Computer	Other	1-3 yr
id71324	1	38	Female	$50-74	Heterosexual	Pennsylvania	College	Computer	Married	Under 6 mo
id71325	0	51	Male	Over $100	Heterosexual	Florida	Some College	Management	Married	1-3 yr
id71326	0	39	Female	Over $100	Heterosexual	Michigan	College	Professional	Married	4-6 yr
id71327	0	30	Female	NA	Heterosexual	Georgia	Masters	Professional	Married	1-3 yr
id88489	0	43	Female	$30-39	Heterosexual	Florida	High School	Computer	Married	1-3 yr
id71328	0	32	Female	$50-74	Heterosexual	Other	College	Professional	Single	1-3 yr
id71329	0	29	Male	$40-49	Heterosexual	Indiana	Masters	Professional	Other	1-3 yr
id71330	0	32	Male	$40-49	Gay male	Washington	Professional	Professional	Other	1-3 yr
id76599	0	27	Male	$50-74	Heterosexual	Illinois	College	Education	Married	1-3 yr
id76679	0	27	Male	$50-74	Heterosexual	Wyoming	Some College	Computer	Married	1-3 yr
id79337	1	37	Female	$30-39	Heterosexual	Ohio	High School	Computer	Divorced	Under 6 mo
id71334	1	45	Female	Over $100	Heterosexual	Malaysis	College	Professional	Married	Under 6 mo
id71335	0	40	Male	$50-74	Heterosexual	North Carolina	Special	Education	Married	1-3 yr
id71337	0	46	Male	NA	Heterosexual	Georgia	Some College	Other	Married	1-3 yr
id86801	0	26	Male	$10-19	Heterosexual	Indiana	Other	Professional	Single	1-3 yr
id71340	0	45	Female	Under $10	Heterosexual	Oklahoma	Some College	Education	Divorced	1-3 yr
id74345	1	40	Male	$50-74	Heterosexual	Michigan	Some College	Other	Married	6-12 mo
id76110	0	24	Male	$10-19	Gay male	Colorado	Some College	Education	Single	1-3 yr
id72638	1	27	Female	$30-39	Heterosexual	Pennsylvania	Some College	Education	Married	Under 6 mo
id78100	0	27	Male	$30-39	Heterosexual	Texas	College	Computer	Single	1-3 yr
id89871	0	24	Male	$40-49	Heterosexual	France	Masters	Computer	Single	1-3 yr
id81867	0	36	Male	$50-74	Heterosexual	Iowa	Masters	Management	Married	1-3 yr
id71347	0	27	Male	$40-49	Gay male	Kentucky	College	Management	Other	1-3 yr
id75221	0	27	Male	$20-29	Heterosexual	Texas	Some College	Professional	Married	1-3 yr
id76955	1	38	Female	$75-99	Heterosexual	New Jersey	Some College	Management	Married	6-12 mo
id82022	0	41	Female	$40-49	Heterosexual	Australia	Some College	Computer	Single	1-3 yr
id82023	0	39	Male	NA	NA	Massachusetts	Masters	Computer	Married	4-6 yr
id71350	1	50	Male	$10-19	Heterosexual	Louisiana	Some College	Management	Widowed	6-12 mo
id71355	0	27	Female	$50-74	NA	North Carolina	College	Management	Other	1-3 yr
id82649	0	30	Female	$10-19	Heterosexual	California	Masters	Other	Married	4-6 yr
id90064	0	22	Male	$40-49	Heterosexual	Illinois	Some College	Professional	Single	1-3 yr
id71359	1	NA	Female	NA	Heterosexual	Missouri	Some College	Other	Divorced	6-12 mo
id71719	0	20	Male	$30-39	Bisexual	Australia	College	Computer	Single	1-3 yr
id71364	1	57	Male	$50-74	Heterosexual	Illinois	Special	Computer	Married	6-12 mo
id71413	0	24	Male	NA	Heterosexual	Belgium	Masters	Education	Married	1-3 yr
id74997	0	18	Male	$10-19	Heterosexual	Florida	High School	Computer	Single	1-3 yr
id71367	0	21	Female	NA	NA	Oregon	Some College	Other	Single	4-6 yr
id71369	0	31	Female	$20-29	Heterosexual	California	College	Education	Married	Over 7 yr
id7673	1	47	Male	$40-49	Heterosexual	Ohio	Special	Computer	Married	6-12 mo
id71372	0	15	Female	$40-49	Heterosexual	Australia	High School	Education	Single	1-3 yr
id1672	0	36	Female	Over $100	Heterosexual	California	College	Computer	Divorced	Over 7 yr
id75567	0	40	Male	Over $100	Heterosexual	California	Masters	Professional	Married	1-3 yr
id71373	0	55	Male	$75-99	Heterosexual	California	Doctoral	Professional	Married	1-3 yr
id85940	0	37	Male	$30-39	Gay male	Michigan	Doctoral	Education	Single	Over 7 yr
id71378	1	23	Male	Under $10	Heterosexual	Alabama	Some College	Education	Single	6-12 mo
id71492	1	51	Male	$30-39	Heterosexual	Virginia	College	Other	Divorced	Under 6 mo
id81786	0	43	Male	Under $10	Heterosexual	Tennessee	Some College	Computer	Married	4-6 yr
id74007	0	42	Male	NA	Heterosexual	Hawaii	College	Computer	Married	Over 7 yr
id79566	0	54	Male	$75-99	Heterosexual	Maryland	Some College	Management	Married	1-3 yr
id84597	0	23	Male	$20-29	Heterosexual	Sweden	College	Computer	Single	Over 7 yr
id71390	0	26	Female	$75-99	Heterosexual	Georgia	College	Other	Married	1-3 yr
id71391	0	60	Male	$50-74	Heterosexual	Michigan	Professional	Professional	Married	1-3 yr
id71766	0	27	Male	NA	Heterosexual	Illinois	Professional	Education	Single	4-6 yr
id79434	1	46	Female	Over $100	Heterosexual	Illinois	College	Management	Married	6-12 mo
id71392	1	34	Female	$10-19	Lesbian	New Hampshire	Masters	Other	Single	6-12 mo
id81877	1	31	Male	$20-29	NA	California	College	Professional	Single	6-12 mo
id83381	0	31	Male	NA	NA	Maryland	College	Computer	Single	Over 7 yr
id71394	0	50	Female	$50-74	Heterosexual	Maryland	College	Professional	Other	1-3 yr
id71395	0	49	Female	$75-99	Heterosexual	Hawaii	Doctoral	Professional	Married	1-3 yr
id81697	0	55	Female	$10-19	Heterosexual	New York	Masters	Education	Divorced	1-3 yr
id81878	0	35	Male	$40-49	Heterosexual	British Columbia	College	Computer	Single	1-3 yr
id84599	0	53	Male	$75-99	Heterosexual	California	Some College	Other	Other	1-3 yr
id84607	0	16	Male	NA	Heterosexual	Pennsylvania	Grammar	Education	Single	Over 7 yr
id71399	1	52	Male	$75-99	Heterosexual	Virginia	Masters	Professional	Married	Under 6 mo
id77416	0	32	Male	NA	Heterosexual	California	Masters	Computer	Single	4-6 yr
id73978	0	27	Male	$50-74	Gay male	Colorado	Some College	Other	Other	1-3 yr
id75871	0	39	Female	NA	Heterosexual	Illinois	Some College	Computer	NA	1-3 yr
id84612	0	34	Male	Over $100	Heterosexual	Texas	Doctoral	Professional	Married	4-6 yr
id74769	0	21	Male	Under $10	NA	Russia	College	Computer	Single	1-3 yr
id77418	1	42	Male	$50-74	NA	Hong Kong	Masters	Management	Married	6-12 mo
id85903	0	29	Male	$40-49	Gay male	Arkansas	College	Management	Single	4-6 yr
id85904	0	24	Male	$20-29	Heterosexual	Kansas	College	Professional	Single	1-3 yr
id84618	0	19	Male	$50-74	Heterosexual	Arizona	Some College	Education	Single	1-3 yr
id84614	0	25	Male	Under $10	Heterosexual	Pennsylvania	College	Education	Single	Over 7 yr
id79343	1	39	Male	$50-74	Heterosexual	Alabama	Other	Other	Married	6-12 mo
id84139	0	24	Male	$30-39	Heterosexual	Utah	Some College	Computer	Single	1-3 yr
id88086	0	40	Male	$75-99	Heterosexual	Canada & Mexico	Masters	Computer	Married	Over 7 yr
id89443	0	45	Male	$50-74	Heterosexual	Netherlands	Masters	Computer	Married	Over 7 yr
id77160	0	57	Male	$50-74	Heterosexual	Massachusetts	Masters	Education	Married	Over 7 yr
id81108	0	51	Male	$40-49	Heterosexual	Alberta	High School	Other	Married	1-3 yr
id72650	0	51	Male	NA	Heterosexual	Missouri	Masters	Education	Married	1-3 yr
id72651	0	29	Male	$75-99	Heterosexual	Australia	Masters	Education	Married	1-3 yr
id89981	0	NA	Male	NA	NA	Pennsylvania	College	Computer	Married	4-6 yr
id86203	1	37	Male	$30-39	Heterosexual	Ontario	Special	Professional	Married	Under 6 mo
id74378	0	43	Male	$75-99	Heterosexual	California	Masters	Computer	Married	1-3 yr
id82401	0	50	Female	Over $100	Heterosexual	Maryland	Masters	Education	Married	1-3 yr
id79351	0	23	Male	Under $10	Heterosexual	New York	Special	Computer	Single	4-6 yr
id79826	0	25	Female	$30-39	Heterosexual	Washington D.C.	Masters	Computer	Single	Over 7 yr
id82709	0	44	Male	NA	Heterosexual	Massachusetts	Masters	Computer	Single	4-6 yr
id83884	0	35	Female	$20-29	Heterosexual	Minnesota	Special	Management	Divorced	1-3 yr
id82194	1	36	Female	Under $10	Heterosexual	Montana	Some College	Education	Married	Under 6 mo
id79101	0	36	Male	$75-99	Heterosexual	Mississippi	Professional	Professional	Married	1-3 yr
id81404	0	NA	Female	$30-39	Heterosexual	Georgia	Masters	Computer	Single	4-6 yr
id81748	0	40	Male	$50-74	Heterosexual	Massachusetts	College	Professional	Married	Over 7 yr
id83885	0	50	Male	$40-49	Bisexual	Florida	Special	Professional	Married	4-6 yr
id88358	0	27	Male	Over $100	Heterosexual	California	Grammar	Computer	Single	Over 7 yr
id71411	0	40	Male	$30-39	Heterosexual	Washington	College	Professional	Other	1-3 yr
id71420	1	22	Female	NA	Heterosexual	California	High School	Management	Other	Under 6 mo
id80837	1	54	Female	NA	Heterosexual	Colorado	Some College	Computer	Married	Under 6 mo
id81544	0	25	Female	$10-19	Heterosexual	Texas	Masters	Education	Single	1-3 yr
id83770	0	22	Male	$10-19	Heterosexual	Australia	Some College	Computer	Single	1-3 yr
id88875	0	31	Male	$20-29	NA	France	Doctoral	Computer	Single	4-6 yr
id71414	1	40	Male	$30-39	Heterosexual	Oregon	Some College	Management	Married	Under 6 mo
id38786	0	33	Female	NA	NA	Hungary	Masters	Management	NA	4-6 yr
id71429	0	22	Male	$20-29	Heterosexual	Illinois	College	Professional	Single	1-3 yr
id71430	1	35	Male	$40-49	Heterosexual	Ontario	Some College	Professional	Married	Under 6 mo
id71431	0	29	Female	$20-29	Heterosexual	Texas	High School	Computer	Divorced	1-3 yr
id71435	0	44	Female	$50-74	Heterosexual	California	Some College	Education	Widowed	1-3 yr
id81777	0	32	Male	$30-39	Heterosexual	Michigan	Some College	Computer	Married	Over 7 yr
id89598	0	26	Male	$10-19	Heterosexual	New Jersey	Some College	Computer	Single	1-3 yr
id79103	0	26	Female	NA	Heterosexual	Michigan	Some College	Education	Single	4-6 yr
id88342	0	20	Male	$10-19	Heterosexual	Missouri	Some College	Education	Other	4-6 yr
id71443	0	42	Female	$40-49	Heterosexual	Pennsylvania	High School	Other	Married	1-3 yr
id71444	0	39	Female	$50-74	Heterosexual	Florida	Masters	Other	Married	1-3 yr
id71446	0	32	Male	$30-39	Heterosexual	Illinois	Some College	Professional	Single	1-3 yr
