Name,Company,Industry,Net Sales (million),Net income (million),Salary (000),Bonus,Other annual comp,Total compensation,Total comp with options ($000),Total comp + opt exer,All other pay,Percent stock owned,CEO?,Full Title,Sex,Age,GVKEY,SP Industry Code,SIC,SIC Desc,Id,Annual CEO
William Siegle,ADVANCED MICRO DEVICES,IT,3519.168,-274.49,472.716,209.033,0,681.749,1127.329,807.401,0,,,senior vp-technology operations & chief scientist,MALE,.,1161,4530,3674,"SEMICONDUCTOR,RELATED DEVICE",18717,
Hector Ruiz,ADVANCED MICRO DEVICES,IT,3519.168,-274.49,950.019,7.329,67.71,957.348,3908.636,1065.187,0,,CEO,president & CEO,MALE,58,1161,4530,3674,"SEMICONDUCTOR,RELATED DEVICE",21115,CEO
Derrick Meyer,ADVANCED MICRO DEVICES,IT,3519.168,-274.49,451.883,168.473,0,620.356,1488.446,932.786,0,,,senior vp-computation products group,MALE,42,1161,4530,3674,"SEMICONDUCTOR,RELATED DEVICE",26736,
Bertrand Cambou,ADVANCED MICRO DEVICES,IT,3519.168,-274.49,430.284,175.556,0,605.84,1467.365,614.33,0,,,senior vp; president & CEO-FASC LLC,MALE,48,1161,4530,3674,"SEMICONDUCTOR,RELATED DEVICE",26737,
John Rowe,AETNA INC,Health,17976.4,933.8,1042.146,2200,210.312,3242.146,17953.233,18227.653,0,,CEO,chairman & CEO,MALE,59,1177,3510,6324,HOSPITAL & MEDICAL SVC PLANS,21182,CEO
"L. Shaw, Jr.",AETNA INC,Health,17976.4,933.8,534.483,550,0,1084.483,4999.509,3227.518,0,,,executive vp & general counsel,MALE,.,1177,3510,6324,HOSPITAL & MEDICAL SVC PLANS,21183,
David Kelso,AETNA INC,Health,17976.4,933.8,543.295,436.832,59.065,980.127,8139.075,13680.982,2628,,,executive vp-strategy & finance,MALE,.,1177,3510,6324,HOSPITAL & MEDICAL SVC PLANS,23459,
Ronald Williams,AETNA INC,Health,17976.4,933.8,914.943,1800,0.235,2714.943,14737.381,9094.373,0.747,,,president,MALE,54,1177,3510,6324,HOSPITAL & MEDICAL SVC PLANS,23460,
Alan Bennett,AETNA INC,Health,17976.4,933.8,439.464,400,0,839.464,4050.15,4250.962,0,,,senior vp & chief finance officer,MALE,.,1177,3510,6324,HOSPITAL & MEDICAL SVC PLANS,25036,
Timothy Holt,AETNA INC,Health,17976.4,933.8,425.287,480,0,905.287,4017.548,3755.753,0,,,senior vp & chief investment officer,MALE,.,1177,3510,6324,HOSPITAL & MEDICAL SVC PLANS,26814,
Robert Gadomski,AIR PRODUCTS & CHEMICALS INC,Materials,6297.3,397.3,664,288,0,952,3934.864,2483.592,213.888,,,executive vp-gases and equipment,MALE,.,1209,1510,2810,INDL INORGANIC CHEMICALS,8758,
John Jones III,AIR PRODUCTS & CHEMICALS INC,Materials,6297.3,397.3,1000,594,0,1594,6328.179,2909.638,324.75,,CEO,"chairman, president & CEO",MALE,53,1209,1510,2810,INDL INORGANIC CHEMICALS,11579,CEO
Andrew Cummins,AIR PRODUCTS & CHEMICALS INC,Materials,6297.3,397.3,450,162,0,612,2098.159,1088.86,103.025,,,group vp-chemicals,MALE,.,1209,1510,2810,INDL INORGANIC CHEMICALS,20675,
W. Brown,AIR PRODUCTS & CHEMICALS INC,Materials,6297.3,397.3,398,129,0,527,1721.821,682.248,87.188,,,"vp, general counsel & secretary",MALE,.,1209,1510,2810,INDL INORGANIC CHEMICALS,23235,
Arthur Katsaros,AIR PRODUCTS & CHEMICALS INC,Materials,6297.3,397.3,398,129,0,527,1720.637,944.696,87.188,,,group vp-engineered systems and development,MALE,.,1209,1510,2810,INDL INORGANIC CHEMICALS,24734,
John Owings,AIR PRODUCTS & CHEMICALS INC,Materials,6297.3,397.3,450,162,0,612,2486.263,1119.064,501.986,,,vp & chief finance officer,MALE,.,1209,1510,2810,INDL INORGANIC CHEMICALS,26535,
Leonard Lavin,ALBERTO-CULVER CO,Staples,2891.417,162.153,1225,1524,0,2749,4589.609,4589.609,22.249,5.55,,chairman,MALE,84,1239,3030,5990,"RETAIL STORES, NEC",33,
Howard Bernick,ALBERTO-CULVER CO,Staples,2891.417,162.153,1525,1897,0,3422,7860.092,5619.5,4.14,1.44,CEO,president & CEO,MALE,51,1239,3030,5990,"RETAIL STORES, NEC",34,CEO
Carol Bernick,ALBERTO-CULVER CO,Staples,2891.417,162.153,962.5,1116,0,2078.5,4072.88,3061,4.14,6.39,,vice chairman & assistant secretary; president-consumer products worldwide,FEMALE,51,1239,3030,5990,"RETAIL STORES, NEC",36,
Michael Renzulli,ALBERTO-CULVER CO,Staples,2891.417,162.153,983.75,898,0,1881.75,3913.87,2901.99,11.88,1.01,,"president-Sally Beauty Company, Inc.",MALE,.,1239,3030,5990,"RETAIL STORES, NEC",37,
William Cernugel,ALBERTO-CULVER CO,Staples,2891.417,162.153,352.5,347,0,699.5,1254.468,1363.027,6.955,,,senior vp & chief finance officer,MALE,.,1239,3030,5990,"RETAIL STORES, NEC",26534,
Peter Lynch,ALBERTSONS INC,Staples,35436,556,799.999,640,0,1439.999,3609.737,3965.541,20,,,president & chief operating officer,MALE,.,1240,3010,5411,GROCERY STORES,21800,
Lawrence Johnston,ALBERTSONS INC,Staples,35436,556,1300,1950,105.335,3250,13218.278,8869.626,0,,CEO,"chairman, president & CEO",MALE,55,1240,3010,5411,GROCERY STORES,23904,CEO
Romeo Cefalo,ALBERTSONS INC,Staples,35436,556,435.001,408.688,0,843.689,2063.273,1744.372,0,,,executive vp-new store formats and development,MALE,.,1240,3010,5411,GROCERY STORES,23905,
Felicia Thornton,ALBERTSONS INC,Staples,35436,556,570.001,535.522,0,1105.523,2381.263,2091.353,0,,,executive vp & chief finance officer,FEMALE,.,1240,3010,5411,GROCERY STORES,23907,
Lawrence Stablein,ALBERTSONS INC,Staples,35436,556,525,500.756,0,1025.756,1636.316,1636.316,0,,,executive vp-marketing and merchandising,MALE,.,1240,3010,5411,GROCERY STORES,25429,
C.J. Gabriel,ALBERTSONS INC,Staples,35436,556,442.79,453.853,0,896.643,3212.467,2777.602,0,,,executive vp-merchandising and supply chain,MALE,.,1240,3010,5411,GROCERY STORES,27834,
John Sims,ALBERTSONS INC,Staples,35436,556,457.403,449.653,0,907.056,2319.953,1914.079,0,,,executive vp & general counsel,MALE,.,1240,3010,5411,GROCERY STORES,27835,
Dennis LeStrange,IKON OFFICE SOLUTIONS,Industrial,4710.912,116.017,407,212.28,0,619.28,879.696,1221.97,0,,,senior vp-IKON North America,MALE,.,1246,2020,5040,PROF & COML EQ & SUPPLY-WHSL,17918,
Don Liu,IKON OFFICE SOLUTIONS,Industrial,4710.912,116.017,345,164.151,0,509.151,696.877,515.151,0,,,"senior vp, general counsel & secretary",MALE,.,1246,2020,5040,PROF & COML EQ & SUPPLY-WHSL,20722,
William Urkiel,IKON OFFICE SOLUTIONS,Industrial,4710.912,116.017,450,247.05,0,697.05,976.85,703.05,0,,,senior vp & chief finance officer,MALE,.,1246,2020,5040,PROF & COML EQ & SUPPLY-WHSL,20724,
Matthew Espe,IKON OFFICE SOLUTIONS,Industrial,4710.912,116.017,725,1393.75,0,2118.75,3296.418,2121.26,0,,CEO,chairman & CEO,MALE,45,1246,2020,5040,PROF & COML EQ & SUPPLY-WHSL,24913,CEO
Beth Sexton,IKON OFFICE SOLUTIONS,Industrial,4710.912,116.017,285,104.31,0,389.31,560.882,395.31,0,,,senior vp-human resources,FEMALE,.,1246,2020,5040,PROF & COML EQ & SUPPLY-WHSL,26615,
C. Mulholland,ALEXANDER & BALDWIN INC,Industrial,1233,81,523,257.908,0.96,780.908,2225.858,3168.359,875.993,,,executive vp; vice chairman-Matson,MALE,.,1254,2030,4400,WATER TRANSPORTATION,2644,
W. Doane,ALEXANDER & BALDWIN INC,Industrial,1233,81,690,400.039,2.135,1090.039,2406.417,2104.135,0,0.22,CEO,president & CEO; vice chairman-Matson,MALE,56,1254,2030,4400,WATER TRANSPORTATION,2645,CEO
Stanley Kuriyama,ALEXANDER & BALDWIN INC,Industrial,1233,81,248.1,150.002,0.466,398.102,893.056,897.539,0,,,"vp; vice chairman & CEO-A&B Properties, Inc.",MALE,.,1254,2030,4400,WATER TRANSPORTATION,18399,
James Andrasick,ALEXANDER & BALDWIN INC,Industrial,1233,81,380.167,312.012,315.983,692.179,1828.027,1625.776,0,,,executive vp;president & CEO-Matson,MALE,.,1254,2030,4400,WATER TRANSPORTATION,23920,
Matthew Cox,ALEXANDER & BALDWIN INC,Industrial,1233,81,264.216,177.12,0.48,441.336,542.077,534.027,0,,,senior vp & chief finance officer-Matson,MALE,.,1254,2030,4400,WATER TRANSPORTATION,26876,
Alan Noia,ALLEGHENY ENERGY INC,Utility,2472.432,-349.942,255.385,0,0,255.385,1981.295,1981.295,1341.923,,,"chairman, president & CEO",MALE,.,1279,5510,4911,ELECTRIC SERVICES,2649,
Jay Pifer,ALLEGHENY ENERGY INC,Utility,2472.432,-349.942,398.906,210,0,608.906,897.454,897.454,261.986,,,chief operating officer,MALE,.,1279,5510,4911,ELECTRIC SERVICES,5083,
Michael Morrell,ALLEGHENY ENERGY INC,Utility,2472.432,-349.942,257.231,0,0,257.231,350.153,350.153,85.043,,,senior vp,MALE,.,1279,5510,4911,ELECTRIC SERVICES,14601,
Paul Evanson,ALLEGHENY ENERGY INC,Utility,2472.432,-349.942,467.308,787.5,0,1254.808,7652.138,7652.138,6392.056,,CEO,"chairman, president & CEO",MALE,62,1279,5510,4911,ELECTRIC SERVICES,26886,CEO
Jeffrey Serkes,ALLEGHENY ENERGY INC,Utility,2472.432,-349.942,230.769,375,0,605.769,931.522,931.522,321.937,,,senior vp & chief finance officer,MALE,45,1279,5510,4911,ELECTRIC SERVICES,26887,
David Hertzog,ALLEGHENY ENERGY INC,Utility,2472.432,-349.942,181.731,262.5,0,444.231,1317.23,1317.23,871.33,,,vp & general counsel,MALE,59,1279,5510,4911,ELECTRIC SERVICES,26888,
Joseph Richardson,ALLEGHENY ENERGY INC,Utility,2472.432,-349.942,130.769,92.216,0,222.985,297.311,297.311,72.628,,,vice president,MALE,54,1279,5510,4911,ELECTRIC SERVICES,26889,
Philip Goulding,ALLEGHENY ENERGY INC,Utility,2472.432,-349.942,76.923,82.5,0,159.423,801.921,801.921,641.756,,,vice president,MALE,44,1279,5510,4911,ELECTRIC SERVICES,26890,
Peter Kreindler,HONEYWELL INTERNATIONAL INC,Industrial,23103,1324,587.11,575,42.43,1162.11,3203,1676.903,0,,,senior vp & general counsel,MALE,.,1300,2010,3728,"AIRCRAFT PARTS, AUX EQ, NEC",4665,
Robert Johnson,HONEYWELL INTERNATIONAL INC,Industrial,23103,1324,616.466,625,38.932,1241.466,2874.81,1348.713,0,,,president & CEO-aerospace,MALE,.,1300,2010,3728,"AIRCRAFT PARTS, AUX EQ, NEC",18551,
David Cote,HONEYWELL INTERNATIONAL INC,Industrial,23103,1324,1500,2100,596.954,3600,12966.369,6861.981,2290.512,,CEO,chairman & CEO,MALE,51,1300,2010,3728,"AIRCRAFT PARTS, AUX EQ, NEC",25016,CEO
J. Gilligan,HONEYWELL INTERNATIONAL INC,Industrial,23103,1324,576.466,500,42.706,1076.466,4450.416,2924.319,1710.575,,,president & CEO-automation and control solutions,MALE,.,1300,2010,3728,"AIRCRAFT PARTS, AUX EQ, NEC",25017,
David Anderson,HONEYWELL INTERNATIONAL INC,Industrial,23103,1324,368.219,700,149.31,1068.219,10934.672,7801.248,2260,,,chief finance officer,MALE,.,1300,2010,3728,"AIRCRAFT PARTS, AUX EQ, NEC",26784,
Francis Frantz,ALLTEL CORP,Telecom,7979.9,1330.1,450,692.55,0,1142.55,3396.386,3381.125,0,,,executive vp & secretary,MALE,.,1318,5010,4812,RADIOTELEPHONE COMMUNICATION,5223,
Scott Ford,ALLTEL CORP,Telecom,7979.9,1330.1,850,1889.55,62.299,2739.55,7329.941,4478.247,0,,CEO,president & CEO,MALE,41,1318,5010,4812,RADIOTELEPHONE COMMUNICATION,11901,CEO
Jeffrey Fox,ALLTEL CORP,Telecom,7979.9,1330.1,550,2893.475,0,3443.475,5808.336,4097.319,0,,,group president-communications,MALE,.,1318,5010,4812,RADIOTELEPHONE COMMUNICATION,16238,
Kevin Beebe,ALLTEL CORP,Telecom,7979.9,1330.1,550,893.475,0,1443.475,3808.336,2397.548,0,,,group president-communications,MALE,.,1318,5010,4812,RADIOTELEPHONE COMMUNICATION,16239,
Michael Flynn,ALLTEL CORP,Telecom,7979.9,1330.1,425,654.075,0,1079.075,2436.768,4679.679,0,,,assistant to the CEO,MALE,.,1318,5010,4812,RADIOTELEPHONE COMMUNICATION,18371,
David Aldrich,SKYWORKS SOLUTIONS INC,IT,617.789,-451.416,480,0,0,480,489.548,489.548,0,,CEO,president & CEO,MALE,47,1327,4530,3674,"SEMICONDUCTOR,RELATED DEVICE",17159,CEO
Paul Vincent,SKYWORKS SOLUTIONS INC,IT,617.789,-451.416,255.461,0,0,255.461,265.295,265.295,0,,,vp & chief finance officer,MALE,.,1327,4530,3674,"SEMICONDUCTOR,RELATED DEVICE",17161,
Kevin Barber,SKYWORKS SOLUTIONS INC,IT,617.789,-451.416,307.615,0,0,307.615,.,314.505,0,,,senior vp-RF solutions,MALE,43,1327,4530,3674,"SEMICONDUCTOR,RELATED DEVICE",24896,
Liam Griffin,SKYWORKS SOLUTIONS INC,IT,617.789,-451.416,259.423,115,0,374.423,381.738,381.738,0,,,vp-sales and marketing,MALE,37,1327,4530,3674,"SEMICONDUCTOR,RELATED DEVICE",24897,
George LeVan,SKYWORKS SOLUTIONS INC,IT,617.789,-451.416,197.885,0,0,197.885,208.219,208.219,0,,,vp-human resources,MALE,58,1327,4530,3674,"SEMICONDUCTOR,RELATED DEVICE",26642,
Alain Belda,ALCOA INC,Materials,21504,938,1216.923,1300,121.12,2516.923,13288.908,5375.398,0,,CEO,chairman & CEO,MALE,60,1356,1510,3350,ROLLING & DRAW NONFER METAL,68,CEO
Richard Kelson,ALCOA INC,Materials,21504,938,579.087,470,8.442,1049.087,3062.057,1129.729,0,,,executive vp & chief finance officer,MALE,.,1356,1510,3350,ROLLING & DRAW NONFER METAL,16024,
G. Pizzey,ALCOA INC,Materials,21504,938,507.55,437.8,66.965,945.35,2904.755,1154.465,0,,,executive vp; group president-Alcoa Primary Products,MALE,.,1356,1510,3350,ROLLING & DRAW NONFER METAL,23412,
Michael Coleman,ALCOA INC,Materials,21504,938,440,385,0,825,2317.945,884.4,0,,,vp-Alcoa Business Systems and Quality; president-Alcoa Rigid Packaging,MALE,.,1356,1510,3350,ROLLING & DRAW NONFER METAL,24960,
"William Leahey, Jr.",ALCOA INC,Materials,21504,938,450,370,0,820,2287.537,1101.096,0,,,"executive vp; group president-Packaging, Consumer, Construction and Distrib",MALE,.,1356,1510,3350,ROLLING & DRAW NONFER METAL,24961,
Dean Meridew,AMCAST INDL CORP,Discretionary,423.92,-109.681,180,66.24,0,246.24,248.585,248.585,0,,,vp & general manager-North American wheel division,MALE,.,1372,2510,3714,"MOTOR VEHICLE PART,ACCESSORY",13630,
James Van Wert,AMCAST INDL CORP,Discretionary,423.92,-109.681,190,59.185,0,249.185,250.72,250.72,0,,,vp-technology,MALE,.,1372,2510,3714,"MOTOR VEHICLE PART,ACCESSORY",20413,
Byron Pond,AMCAST INDL CORP,Discretionary,423.92,-109.681,426.924,210.603,0,637.527,637.527,637.527,0,0.62,CEO,chairman & CEO,MALE,67,1372,2510,3714,"MOTOR VEHICLE PART,ACCESSORY",23175,CEO
Joseph Grewe,AMCAST INDL CORP,Discretionary,423.92,-109.681,362.001,277.475,0,639.476,678.053,678.053,38.577,,,president & chief operating officer,MALE,55,1372,2510,3714,"MOTOR VEHICLE PART,ACCESSORY",24840,
Francis Drew,AMCAST INDL CORP,Discretionary,423.92,-109.681,276.75,151.723,0,428.473,430.811,430.811,0,0.03,,vp-finance & chief finance officer,MALE,.,1372,2510,3714,"MOTOR VEHICLE PART,ACCESSORY",24841,
John Hess,AMERADA HESS CORP,Energy,14311,643,1000,2250,0,3250,3262,3262,0,13.45,CEO,chairman & CEO,MALE,49,1380,1010,2911,PETROLEUM REFINING,79,CEO
John Schreyer,AMERADA HESS CORP,Energy,14311,643,750,750,0,1500,1512,1512,0,7.79,,executive vp & chief finance officer,MALE,64,1380,1010,2911,PETROLEUM REFINING,81,
J. Collins II,AMERADA HESS CORP,Energy,14311,643,650,650,0,1300,1312,1312,0,,,executive vp & general counsel,MALE,59,1380,1010,2911,PETROLEUM REFINING,8762,
F. Walker,AMERADA HESS CORP,Energy,14311,643,650,500,0,1150,1162,1162,0,,,executive vp;president-refining and marketing,MALE,.,1380,1010,2911,PETROLEUM REFINING,18920,
John O'Connor,AMERADA HESS CORP,Energy,14311,643,750,1300,0,2050,2062,2062,0,,,executive vp;president-worldwide exploration and production,MALE,57,1380,1010,2911,PETROLEUM REFINING,23707,
Norman Wesley,FORTUNE BRANDS INC,Discretionary,5912.5,579.2,1000,1217.2,309.866,2217.2,9734.145,8472.179,0,,CEO,chairman & CEO,MALE,54,1408,2520,3490,MISC FABRICATED METAL PRODS,18570,CEO
Craig Omtvedt,FORTUNE BRANDS INC,Discretionary,5912.5,579.2,515,405.614,149.107,920.614,4389.593,5391.156,0,,,senior vp & chief finance officer,MALE,.,1408,2520,3490,MISC FABRICATED METAL PRODS,18571,
Mark Roche,FORTUNE BRANDS INC,Discretionary,5912.5,579.2,422,302.152,96.914,724.152,2912.012,4069.512,0,,,"senior vp, general counsel & secretary",MALE,.,1408,2520,3490,MISC FABRICATED METAL PRODS,21112,
Mark Hausberg,FORTUNE BRANDS INC,Discretionary,5912.5,579.2,305,218.38,67.796,523.38,1583.093,2519.888,0,,,senior vp-finance & treasurer,MALE,.,1408,2520,3490,MISC FABRICATED METAL PRODS,21114,
