Round, Time, Goodness of Fit, Total Alpha  , Universal bounded bidder/Columns Expert, Alpha, Current Bid, Universal bounded bidder/Column interactions Expert, Alpha, Current Bid, Universal bidder/Used-feature interactions Expert, Alpha, Current Bid, Universal bidder/Skipped-feature interactions Expert, Alpha, Current Bid, Universal bidder/Skipped-feature polynomial Expert, Alpha, Current Bid, Fit bidder [Y_hat_]/Linear Model Expert, Alpha, Current Bid, Winning Expert, High Bid, p-value, Variable, Outcome, Payoff, RSS, CVSS
13, Tue Jun 23 10:28:52 , 0.461603, 99.7728, "runs_batted_in", 0.165992, 0.057938, "Batting_average"^2 , 0.0141443, 0.00493692, "Batting_average"^2 , 0.0142857, 0.00498629, "Batting_average" , 0.00714286, 0.00249314, square[Y_hat_1], 0.00714286, 0.00249314,  , 99.5641, 0, Universal bounded bidder/Columns, 0.057938, 0.00920351, "runs_batted_in","runs_batted_in",0.05,2.70087e+08,0
14, Tue Jun 23 10:28:52 , 0.477229, 99.8228, "Number_of_walks", 0.215992, 0.07539, "Batting_average"^2 , 0.0141443, 0.00493692, "Batting_average"^2 , 0.0142857, 0.00498629, "Batting_average" , 0.00714286, 0.00249314, square[Y_hat_1], 0.00714286, 0.00249314, Y_hat_5, 99.5641, 0.025, Fit bidder [Y_hat_]/Linear Model, 0.025, 0.198377, square[Y_hat_6], ,-0.025641, , 
15, Tue Jun 23 10:28:52 , 0.477229, 99.7972, "Number_of_walks", 0.215992, 0.07539, "Batting_average"^2 , 0.0141443, 0.00493692, "Batting_average"^2 , 0.0142857, 0.00498629, "Batting_average" , 0.00714286, 0.00249314, square[Y_hat_1], 0.00714286, 0.00249314,  , 99.5385, 0, Universal bounded bidder/Columns, 0.07539, 0.754366, "Number_of_walks", ,-0.0815371, , 
16, Tue Jun 23 10:28:52 , 0.477229, 99.7156, "Number_of_strike-outs", 0.134455, 0.0469303, "Batting_average"^2 , 0.0141443, 0.00493692, "Batting_average"^2 , 0.0142857, 0.00498629, "Batting_average" , 0.00714286, 0.00249314, square[Y_hat_1], 0.00714286, 0.00249314,  , 99.5385, 0, Universal bounded bidder/Columns, 0.0469303, 7.93184e-05, "Number_of_strike-outs","Number_of_strike-outs",0.05,2.50087e+08,0
17, Tue Jun 23 10:28:52 , 0.515941, 99.7656, "Number_of_stolen_bases", 0.184455, 0.0643823, "Batting_average"^2 , 0.0141443, 0.00493692, "Batting_average"^2 , 0.0142857, 0.00498629, "Batting_average" , 0.00714286, 0.00249314, square[Y_hat_1], 0.00714286, 0.00249314, Y_hat_6, 99.5385, 0.025, Fit bidder [Y_hat_]/Linear Model, 0.025, 0.102124, square[Y_hat_7], ,-0.025641, , 
18, Tue Jun 23 10:28:52 , 0.515941, 99.74, "Number_of_stolen_bases", 0.184455, 0.0643823, "Batting_average"^2 , 0.0141443, 0.00493692, "Batting_average"^2 , 0.0142857, 0.00498629, "Batting_average" , 0.00714286, 0.00249314, square[Y_hat_1], 0.00714286, 0.00249314,  , 99.5128, 0, Universal bounded bidder/Columns, 0.0643823, 0.156505, "Number_of_stolen_bases", ,-0.0688126, , 
19, Tue Jun 23 10:28:52 , 0.515941, 99.6712, "Number_of_errors", 0.115643, 0.0403639, "Batting_average"^2 , 0.0141443, 0.00493692, "Batting_average"^2 , 0.0142857, 0.00498629, "Batting_average" , 0.00714286, 0.00249314, square[Y_hat_1], 0.00714286, 0.00249314,  , 99.5128, 0, Universal bounded bidder/Columns, 0.0403639, 0.106234, "Number_of_errors", ,-0.0420617, , 
20, Tue Jun 23 10:28:52 , 0.515941, 99.6291, "free_agency_eligibility", 0.073581, 0.0128414, "Batting_average"^2 , 0.0141443, 0.00493692, "Batting_average"^2 , 0.0142857, 0.00498629, "Batting_average" , 0.00714286, 0.00249314, square[Y_hat_1], 0.00714286, 0.00249314,  , 99.5128, 0, Universal bounded bidder/Columns, 0.0128414, 4.43021e-14, "free_agency_eligibility","free_agency_eligibility",0.05,1.87604e+08,0
21, Tue Jun 23 10:28:52 , 0.63688, 99.6791, "free_agent_in_1991/2", 0.123581, 0.0431347, "Batting_average"^2 , 0.0141443, 0.00493692, "Batting_average"^2 , 0.0142857, 0.00498629, "Batting_average" , 0.00714286, 0.00249314, square[Y_hat_1], 0.00714286, 0.00249314, Y_hat_7, 99.5128, 0.25, Fit bidder [Y_hat_]/Linear Model, 0.25, 2.57263e-05, square[Y_hat_8],square[Y_hat_8],0.05,1.73352e+08,0
22, Tue Jun 23 10:28:52 , 0.664466, 99.7291, "free_agent_in_1991/2", 0.123581, 0.0431347, "Batting_average"^2 , 0.0141443, 0.00493692, "Batting_average"^2 , 0.0142857, 0.00498629, "Batting_average" , 0.00714286, 0.00249314, square[Y_hat_1], 0.00714286, 0.00249314, Y_hat_8, 99.5628, 0.25, Fit bidder [Y_hat_]/Linear Model, 0.25, 0.0513244, fourth[Y_hat_8],fourth[Y_hat_8],0.05,1.6896e+08,0
23, Tue Jun 23 10:28:52 , 0.672966, 99.7791, "free_agent_in_1991/2", 0.123581, 0.0431347, "Batting_average"^2 , 0.0141443, 0.00493692, "Batting_average"^2 , 0.0142857, 0.00498629, "Batting_average" , 0.00714286, 0.00249314, square[Y_hat_1], 0.00714286, 0.00249314,  , 99.6128, 0, Universal bounded bidder/Columns, 0.0431347, 0.144097, "free_agent_in_1991/2", ,-0.0450792, , 
24, Tue Jun 23 10:28:52 , 0.672966, 99.734, "arbitration_eligibility", 0.0785018, 0.0274003, "Batting_average"^2 , 0.0141443, 0.00493692, "Batting_average"^2 , 0.0142857, 0.00498629, "Batting_average" , 0.00714286, 0.00249314, square[Y_hat_1], 0.00714286, 0.00249314,  , 99.6128, 0, Universal bounded bidder/Columns, 0.0274003, 6.92237e-14, "arbitration_eligibility","arbitration_eligibility",0.05,1.34146e+08,0
25, Tue Jun 23 10:28:52 , 0.740351, 99.784, "arbitration_1991/1992", 0.128502, 0.0448523, "Batting_average"^2 , 0.0141443, 0.00493692, "Batting_average"^2 , 0.0142857, 0.00498629, "Batting_average" , 0.00714286, 0.00249314, square[Y_hat_1], 0.00714286, 0.00249314, Y_hat_8, 99.6128, 0.025, Fit bidder [Y_hat_]/Linear Model, 0.025, 0.00341673, square[Y_hat_9],square[Y_hat_9],0.05,1.25179e+08,0
26, Tue Jun 23 10:28:52 , 0.757708, 99.834, "arbitration_1991/1992", 0.128502, 0.0448523, "Batting_average"^2 , 0.0141443, 0.00493692, "Batting_average"^2 , 0.0142857, 0.00498629, "Batting_average" , 0.00714286, 0.00249314, square[Y_hat_1], 0.00714286, 0.00249314, Y_hat_9, 99.6628, 0.025, Fit bidder [Y_hat_]/Linear Model, 0.025, 0.177501, fourth[Y_hat_9], ,-0.025641, , 
27, Tue Jun 23 10:28:52 , 0.757708, 99.8084, "arbitration_1991/1992", 0.128502, 0.0448523, "Batting_average"^2 , 0.0141443, 0.00493692, "Batting_average"^2 , 0.0142857, 0.00498629, "Batting_average" , 0.00714286, 0.00249314, square[Y_hat_1], 0.00714286, 0.00249314,  , 99.6372, 0, Universal bounded bidder/Columns, 0.0448523, 0.637273, "arbitration_1991/1992", ,-0.0469585, , 
