"ORDER"	"COSTS"	"KWH"	"PL"	"PF"	"PK"	"LNCP3"	"LNP13"	"LNP23"	"LNKWH"
221.00	4.58	484.00	1.75	42.80	176.00	-2.23	-3.20	1.41	6.18
222.00	4.36	516.00	2.30	23.60	167.00	-1.69	-2.33	1.96	6.25
223.00	4.71	550.00	2.05	35.10	158.00	-2.01	-2.84	1.50	6.31
224.00	4.36	563.00	2.32	31.90	162.00	-1.99	-2.62	1.62	6.33
225.00	3.92	566.00	2.31	33.50	198.00	-2.15	-2.67	1.78	6.34
226.00	3.44	592.00	1.92	22.50	164.00	-1.88	-2.46	1.99	6.38
227.00	4.90	671.00	2.05	35.10	164.00	-1.97	-2.84	1.54	6.51
228.00	3.58	696.00	1.76	10.30	161.00	-1.06	-1.77	2.75	6.55
229.00	5.54	719.00	1.70	26.90	174.00	-1.58	-2.76	1.87	6.58
301.00	4.41	742.00	2.04	20.70	157.00	-1.55	-2.32	2.03	6.61
302.00	4.29	795.00	2.24	26.50	185.00	-1.82	-2.47	1.94	6.68
303.00	6.73	800.00	1.70	26.90	157.00	-1.39	-2.76	1.76	6.68
304.00	6.89	808.00	1.68	39.70	203.00	-1.75	-3.16	1.63	6.69
305.00	5.11	811.00	2.29	28.50	178.00	-1.72	-2.52	1.83	6.70
306.00	5.14	855.00	2.00	34.30	183.00	-1.90	-2.84	1.67	6.75
307.00	5.72	860.00	2.31	33.50	168.00	-1.77	-2.67	1.61	6.76
308.00	4.69	909.00	1.45	17.60	196.00	-1.32	-2.50	2.41	6.81
309.00	6.83	913.00	1.70	26.90	166.00	-1.37	-2.76	1.82	6.82
310.00	4.81	924.00	1.76	10.30	172.00	-0.76	-1.77	2.82	6.83
311.00	6.75	984.00	1.70	26.90	158.00	-1.38	-2.76	1.77	6.89
312.00	5.13	991.00	2.09	30.00	174.00	-1.77	-2.66	1.76	6.90
313.00	6.39	1000.00	1.55	28.20	225.00	-1.48	-2.90	2.08	6.91
314.00	4.51	1098.00	2.11	24.40	168.00	-1.69	-2.45	1.93	7.00
315.00	7.18	1109.00	2.05	35.10	177.00	-1.59	-2.84	1.62	7.01
316.00	6.80	1118.00	2.30	23.60	161.00	-1.24	-2.33	1.92	7.02
317.00	7.74	1122.00	2.19	29.10	162.00	-1.32	-2.59	1.72	7.02
318.00	7.97	1137.00	2.04	20.70	158.00	-0.95	-2.32	2.03	7.04
319.00	8.86	1156.00	2.31	33.50	176.00	-1.33	-2.67	1.66	7.05
320.00	8.59	1166.00	1.70	26.90	183.00	-1.14	-2.76	1.92	7.06
321.00	6.45	1170.00	2.05	35.10	166.00	-1.69	-2.84	1.55	7.06
322.00	8.49	1215.00	2.19	29.10	164.00	-1.23	-2.59	1.73	7.10
323.00	8.88	1279.00	2.00	34.30	207.00	-1.35	-2.84	1.80	7.15
324.00	10.27	1291.00	2.32	31.90	175.00	-1.13	-2.62	1.70	7.16
325.00	6.02	1290.00	1.55	28.20	225.00	-1.54	-2.90	2.08	7.16
326.00	8.26	1331.00	2.13	30.00	178.00	-1.29	-2.65	1.78	7.19
327.00	13.38	1373.00	2.20	36.20	157.00	-1.00	-2.80	1.47	7.22
328.00	10.69	1420.00	2.20	36.20	138.00	-1.22	-2.80	1.34	7.26
329.00	8.31	1474.00	1.85	24.60	163.00	-1.09	-2.59	1.89	7.30
401.00	6.08	1497.00	1.76	10.30	168.00	-0.53	-1.77	2.79	7.31
402.00	9.28	1545.00	1.80	20.20	158.00	-0.78	-2.42	2.06	7.34
403.00	10.88	1649.00	2.32	31.90	177.00	-1.08	-2.62	1.71	7.41
404.00	8.48	1668.00	1.80	20.20	170.00	-0.87	-2.42	2.13	7.42
405.00	6.88	1782.00	2.13	10.70	183.00	-0.44	-1.61	2.84	7.49
406.00	15.11	1831.00	1.98	35.50	162.00	-0.85	-2.89	1.52	7.51
407.00	8.03	1833.00	1.76	10.30	177.00	-0.25	-1.77	2.84	7.51
408.00	8.08	1838.00	1.45	17.60	196.00	-0.78	-2.50	2.41	7.52
409.00	10.87	1787.00	2.24	26.50	164.00	-0.89	-2.47	1.82	7.49
410.00	8.60	1918.00	1.69	12.90	158.00	-0.41	-2.03	2.51	7.56
411.00	8.67	1930.00	1.81	22.60	157.00	-0.96	-2.52	1.94	7.57
412.00	15.44	2028.00	2.11	24.40	163.00	-0.46	-2.45	1.90	7.61
413.00	8.21	2057.00	1.76	10.30	161.00	-0.23	-1.77	2.75	7.63
414.00	11.98	2084.00	1.77	21.30	156.00	-0.58	-2.49	1.99	7.64
415.00	16.67	2226.00	2.00	34.30	217.00	-0.72	-2.84	1.84	7.71
416.00	12.62	2304.00	2.30	23.60	161.00	-0.63	-2.33	1.92	7.74
417.00	12.90	2341.00	2.04	20.70	183.00	-0.47	-2.32	2.18	7.76
418.00	11.62	2353.00	1.69	12.90	167.00	-0.10	-2.03	2.56	7.76
419.00	9.32	2367.00	1.76	10.30	161.00	-0.10	-1.77	2.75	7.77
420.00	12.96	2451.00	2.04	20.70	163.00	-0.47	-2.32	2.06	7.80
421.00	16.93	2457.00	2.20	36.20	170.00	-0.76	-2.80	1.55	7.81
422.00	9.65	2507.00	1.76	10.30	174.00	-0.07	-1.77	2.83	7.83
423.00	18.35	2530.00	2.31	33.50	197.00	-0.60	-2.67	1.77	7.84
424.00	17.33	2576.00	1.92	22.50	162.00	-0.26	-2.46	1.97	7.85
425.00	12.02	2607.00	1.76	10.30	155.00	0.15	-1.77	2.71	7.87
426.00	11.32	2870.00	1.76	10.30	167.00	0.09	-1.77	2.79	7.96
427.00	22.34	2993.00	2.31	33.50	176.00	-0.41	-2.67	1.66	8.00
428.00	19.04	3202.00	2.30	23.60	170.00	-0.21	-2.33	1.97	8.07
429.00	12.21	3286.00	1.61	17.80	183.00	-0.38	-2.40	2.33	8.10
501.00	17.08	3312.00	1.68	28.80	190.00	-0.52	-2.84	1.89	8.11
502.00	25.53	3498.00	2.09	30.00	170.00	-0.16	-2.66	1.73	8.16
503.00	24.02	3538.00	2.09	30.00	176.00	-0.22	-2.66	1.77	8.17
504.00	32.20	3794.00	2.05	35.10	159.00	-0.09	-2.84	1.51	8.24
505.00	26.65	3841.00	2.29	28.50	157.00	-0.07	-2.52	1.71	8.25
506.00	20.16	4014.00	2.11	24.40	161.00	-0.19	-2.45	1.89	8.30
507.00	14.13	4217.00	1.53	18.10	172.00	-0.25	-2.47	2.25	8.35
508.00	21.41	4305.00	2.11	24.40	203.00	-0.13	-2.45	2.12	8.37
509.00	23.24	4494.00	2.04	20.70	167.00	0.12	-2.32	2.09	8.41
510.00	29.84	4764.00	2.19	29.10	195.00	0.03	-2.59	1.90	8.47
511.00	32.32	5277.00	1.92	29.10	161.00	0.10	-2.72	1.71	8.57
512.00	21.99	5283.00	2.04	20.70	159.00	0.06	-2.32	2.04	8.57
513.00	35.23	5668.00	2.11	24.40	177.00	0.37	-2.45	1.98	8.64
514.00	17.47	5681.00	1.76	10.30	157.00	0.53	-1.77	2.72	8.64
515.00	22.83	5819.00	1.79	18.50	196.00	0.21	-2.34	2.36	8.67
516.00	33.15	6000.00	2.11	24.40	183.00	0.31	-2.45	2.01	8.70
517.00	32.23	6119.00	1.54	26.20	189.00	0.21	-2.83	1.98	8.72
518.00	34.17	6136.00	1.92	22.50	160.00	0.42	-2.46	1.96	8.72
519.00	40.59	7193.00	2.12	28.60	162.00	0.35	-2.60	1.73	8.88
520.00	33.35	7886.00	1.61	17.80	178.00	0.63	-2.40	2.30	8.97
521.00	64.54	8419.00	2.32	31.90	199.00	0.70	-2.62	1.83	9.04
522.00	41.24	8642.00	2.24	26.50	182.00	0.44	-2.47	1.93	9.06
523.00	47.99	8787.00	2.31	33.50	190.00	0.36	-2.67	1.74	9.08
524.00	69.88	9484.00	2.11	24.40	165.00	1.05	-2.45	1.91	9.16
525.00	44.89	9956.00	1.68	28.80	203.00	0.44	-2.84	1.95	9.21
526.00	67.12	11477.00	2.24	26.50	151.00	0.93	-2.47	1.74	9.35
527.00	73.05	11796.00	2.12	28.60	148.00	0.94	-2.60	1.64	9.38
528.00	139.42	14359.00	2.31	33.50	212.00	1.43	-2.67	1.85	9.57
529.00	119.94	16719.00	2.30	23.60	162.00	1.63	-2.33	1.93	9.72
