BreweryBrand,Beer,AlcoholPercent,Calories,CarbsFROMrealbeer
Miller,Miller Genuine Draft Lite,4.2,110,7
Miller,Miller High Life,5.5,156,11
Miller,Miller Lite,4.2,96,3.2
Moosehead,Moosehead, 5.0,153,
Murphy's,Murphy's Irish Red,5.0,171 
Murphy's,Murphy's Stout,4.0,150,
O'Douls,O'Douls,0.4,70,13.3
O'Douls,O'Douls Amber,0.4,90,18
Olde English 800,Olde English 800,5.9,160,10.5
Olde English 800,Olde English 800 Ice,7.9,216,14.3
Old Milwaukee,Old Milwaukee,5.0,156,
Pabst,Pabst,5.0,152,
Paulaner,Salvator,7.5,251,
Pete's Brewing,Pete's Wicked Ale,5.3,174,17.7
Pete's Brewing,Pete's Oktoberfest,5.8,189,16.9
Pete's Brewing,Pete's Summer Brew,4.7,163,15.6
Pete's Brewing,Pete's Winter Brew,5.2,170,15.2
Pete's Brewing,Pete's Helles Lager,5.0,163,14.6
Pete's Brewing,Pete's Red Rush,5.3,170,14.8
Pete's Brewing,Pete's Strawberry Blonde,5.0,160,13.6
Pilsner Urquell,Pilsner Uruqell,   4.3,160,
Pittsburgh Brewing,I.C. Light,4.1,95,2.8
Pittsburgh Brewing,Iron City Lager,4.5,140,10
Red Dog,Red Dog,  5.0,147,14.1
Redhook,Redhook ESB,5.8,179,14.2
Redhook,Redhook IPA,6.5,188,12.7
Redhook,Redhook Blonde Ale,5.4,166,13.1
Redhook,Redhook Hefeweizen,5.2,155,10.9
Redhook,Redhook Nut Brown,5.6,181,16
Rhinebecker,Rhinebecker,5,106,2.5
St. Pauli Girl,St. Pauli Girl,4.9,148,
St. Pauli Girl,St. Pauli Girl Dark,4.8,150,
St. Pauli Girl,St. Pauli Girl N.A.,0.001,96,23
Sam Adams,Sam Adams Light,    4.05, 124, 9.7
Sam Adams,Sam Adams Boston Lager,  4.8,160,
Sam Adams,Sam Adams Golden Pilsner,4.6,145,
Sam Adams,Sam Adams Cream Stout,4.7,195,
Sam Adams,Sam Adams Boston Ale,4.9,160,
Sam Adams,Sam Adams Cherry Wheat,5.2,166,
Sam Adams,Sam Adams Spring Ale,5.2,170,
Sam Adams,Sam Adams Summer Ale,5.4,175,
Sam Adams,Sam Adams Pale Ale,5.3,145,
Sam Adams,Sam Adams Octoberfest,5.7,165,
Sam Adams,Sam Adams IPA,5.9,175,
Sam Adams,Sam Adams Winter Lager,5.8,190,
Sam Adams,Sam Adams Double Bock,8.5,240,
Sam Adams,Sam Adams Triple Bock,17.5,340,
Shiner,Shiner Bock,4.4,143,12.5
Shiner,Shiner Light,3.9,120,9
Sierra Nevada,Sierra Nevada Pale Ale,5.7,171,14.1
Sierra Nevada,Sierra Nevada Porter,5.7,194,18.4
Sierra Nevada,Sierra Nevada Stout,6.4,225,22.3
Sierra Nevada,Sierra Nevada Wheat,4.7,153,13.1
Sierra Nevada,Sierra Nevada Summerfest,4.9,158,13.7
Sierra Nevada,Sierra Nevada Celebration,6.6,214,19.4
Sierra Nevada,Sierra Nevada Bigfoot,9.9,330,30.3
Tsingtao,Tsingtao,4.7,152,
Widmer,Widmer Hefeweizen,4.7,159 
Yuengling,Premium,4.4,137,12
Yuengling,Light,3.8,98,6.6
Yuengling,Ale,5.0,147,10
Yuengling,Porter,4.5,152,14
Yuengling,Lager,4.4,137,12
Yuengling,Black & Tan,4.5,152,14
Yuengling,Light Lager,3.6,96,8.5
